"Relative Time (Process)","DQN_4seq_6 - _step","DQN_4seq_6 - _step__MIN","DQN_4seq_6 - _step__MAX","DQN_4seq_6 - amount_of_options_explored","DQN_4seq_6 - amount_of_options_explored__MIN","DQN_4seq_6 - amount_of_options_explored__MAX"
"30.707035881","6","6","6","1","1","1"
"32.782544268","55","55","55","2","2","2"
"34.775043471000004","119","119","119","3","3","3"
"36.745203497","178","178","178","4","4","4"
"40.610796399","249","249","249","5","5","5"
"42.727876461","308","308","308","6","6","6"
"44.793289159","372","372","372","7","7","7"
"46.731807576","431","431","431","8","8","8"
"52.185610619","560","560","560","9","9","9"
"54.289103715","624","624","624","10","10","10"
"56.421379436","688","688","688","11","11","11"
"60.024784687","754","754","754","12","12","12"
"61.96874055","808","808","808","13","13","13"
"64.253623908","872","872","872","14","14","14"
"66.49268799","936","936","936","15","15","15"
"81.826352163","1309","1309","1309","16","16","16"
"83.839374713","1373","1373","1373","17","17","17"
"85.849903268","1437","1437","1437","18","18","18"
"91.341185169","1551","1551","1551","19","19","19"
"93.267786417","1615","1615","1615","20","20","20"
"95.245373285","1674","1674","1674","21","21","21"
"102.679516182","1861","1861","1861","22","22","22"
"104.705496343","1920","1920","1920","23","23","23"
"112.234993884","2102","2102","2102","24","24","24"
"114.385175395","2161","2161","2161","25","25","25"
"158.765543055","3251","3251","3251","26","26","26"
"160.770783318","3310","3310","3310","27","27","27"
"162.81133782","3374","3374","3374","28","28","28"
"179.969005555","3805","3805","3805","29","29","29"
"182.094161198","3864","3864","3864","30","30","30"
"550.012250596","12548","12548","12548","31","31","31"
"552.271687471","12607","12607","12607","32","32","32"
"554.66027735","12666","12666","12666","33","33","33"
"580.239373492","13220","13220","13220","34","34","34"
"582.475028551","13274","13274","13274","35","35","35"
"584.71176814","13333","13333","13333","36","36","36"
"587.07300235","13397","13397","13397","37","37","37"
"606.258655609","13818","13818","13818","38","38","38"
"608.636918714","13882","13882","13882","39","39","39"
"865.810871567","19462","19462","19462","40","40","40"
"868.299369183","19526","19526","19526","41","41","41"
"886.54114686","19889","19889","19889","42","42","42"
"889.148173268","19953","19953","19953","43","43","43"
"891.684614858","20012","20012","20012","44","44","44"
"925.47793597","20702","20702","20702","45","45","45"
"927.997686636","20761","20761","20761","46","46","46"
"1147.594236605","25322","25322","25322","47","47","47"
"1150.11056028","25381","25381","25381","48","48","48"
"1152.788878592","25445","25445","25445","49","49","49"
"1198.371147624","26354","26354","26354","50","50","50"
"1201.071070257","26423","26423","26423","51","51","51"
"1208.331149216","26547","26547","26547","52","52","52"
"1211.025144486","26611","26611","26611","53","53","53"
"1213.836594719","26670","26670","26670","54","54","54"
"1246.76150082","27345","27345","27345","55","55","55"
"1249.35325971","27404","27404","27404","56","56","56"
"2135.209369661","43909","43909","43909","57","57","57"
"2138.032218214","43968","43968","43968","58","58","58"
