"Relative Time (Process)","DQN_4seq_6 - _step","DQN_4seq_6 - _step__MIN","DQN_4seq_6 - _step__MAX","DQN_4seq_6 - env_steps_inside_sim","DQN_4seq_6 - env_steps_inside_sim__MIN","DQN_4seq_6 - env_steps_inside_sim__MAX"
"30.956169531","12","12","12","2","2","2"
"31.060268207","22","22","22","4","4","4"
"31.141110188","27","27","27","5","5","5"
"31.141148656","32","32","32","6","6","6"
"31.163214844","37","37","37","7","7","7"
"31.230143084","47","47","47","9","9","9"
"32.893075785","66","66","66","12","12","12"
"32.927293738","71","71","71","13","13","13"
"32.96397402","76","76","76","14","14","14"
"33.001668844","81","81","81","15","15","15"
"33.042420127","86","86","86","16","16","16"
"33.084320125","91","91","91","17","17","17"
"33.141305324","96","96","96","18","18","18"
"33.183436554","101","101","101","19","19","19"
"34.881502428","130","130","130","24","24","24"
"34.948158398","140","140","140","26","26","26"
"35.022117149","150","150","150","28","28","28"
"35.056763623","155","155","155","29","29","29"
"35.091702113","160","160","160","30","30","30"
"35.126937973","165","165","165","31","31","31"
"36.788638803","179","179","179","33","33","33"
"36.850667507","184","184","184","34","34","34"
"36.900083416","189","189","189","35","35","35"
"36.947867564","194","194","194","36","36","36"
"37.110044022","209","209","209","39","39","39"
"37.158065772","214","214","214","40","40","40"
"37.222347401","219","219","219","41","41","41"
"37.371883021","234","234","234","44","44","44"
"40.657895228","250","250","250","45","45","45"
"40.738650971","260","260","260","47","47","47"
"40.816387022","270","270","270","49","49","49"
"40.944910903","285","285","285","52","52","52"
"40.982315193","290","290","290","53","53","53"
"41.020069725","295","295","295","54","54","54"
"42.770681481","309","309","309","56","56","56"
"42.844509039","319","319","319","58","58","58"
"42.88172924","324","324","324","59","59","59"
"42.961998705","334","334","334","61","61","61"
"43.00006843","339","339","339","62","62","62"
"43.037813488","344","344","344","63","63","63"
"43.075601819","349","349","349","64","64","64"
"43.113136591","354","354","354","65","65","65"
"44.875407095","378","378","378","69","69","69"
"44.912989449","383","383","383","70","70","70"
"44.991841923","393","393","393","72","72","72"
"45.038927472","398","398","398","73","73","73"
"45.07828349","403","403","403","74","74","74"
"45.115542929","408","408","408","75","75","75"
"45.192730449","418","418","418","77","77","77"
"46.775860632","432","432","432","79","79","79"
"46.813825968","437","437","437","80","80","80"
"46.888803504","447","447","447","82","82","82"
"46.92715665","452","452","452","83","83","83"
"47.055257266","467","467","467","86","86","86"
"47.093902571","472","472","472","87","87","87"
"47.213540653","487","487","487","90","90","90"
"50.249380594","502","502","502","91","91","91"
"50.289513009","507","507","507","92","92","92"
"50.328723782","512","512","512","93","93","93"
"50.365831063","517","517","517","94","94","94"
"50.406347499","522","522","522","95","95","95"
"50.448876453","527","527","527","96","96","96"
"50.488913813","532","532","532","97","97","97"
"50.56888299","542","542","542","99","99","99"
"52.235148306","561","561","561","102","102","102"
"52.276534513","566","566","566","103","103","103"
"52.362118201","576","576","576","105","105","105"
"52.404097268","581","581","581","106","106","106"
"52.447568922","586","586","586","107","107","107"
"52.487667139","591","591","591","108","108","108"
"52.607960844","606","606","606","111","111","111"
"52.707211229","616","616","616","113","113","113"
"54.338403341","625","625","625","114","114","114"
"54.379479161","630","630","630","115","115","115"
"54.420285331","635","635","635","116","116","116"
"54.504609082","645","645","645","118","118","118"
"54.547944061","650","650","650","119","119","119"
"54.673311468","665","665","665","122","122","122"
"54.714206117","670","670","670","123","123","123"
"54.805474293","680","680","680","125","125","125"
"56.468808646","689","689","689","126","126","126"
"56.50232755","694","694","694","127","127","127"
"56.566509299","704","704","704","129","129","129"
"56.601929209","709","709","709","130","130","130"
"56.641172131","714","714","714","131","131","131"
"56.679548323","719","719","719","132","132","132"
"56.757964699","729","729","729","134","134","134"
"56.794640727","734","734","734","135","135","135"
"56.828910387","739","739","739","136","136","136"
"60.07365634","755","755","755","137","137","137"
"60.110026035","760","760","760","138","138","138"
"60.149067542","765","765","765","139","139","139"
"60.184956247","770","770","770","140","140","140"
"60.219736341","775","775","775","141","141","141"
"60.255584865","780","780","780","142","142","142"
"60.322976587","790","790","790","144","144","144"
"60.360616363","795","795","795","145","145","145"
"60.397843317","800","800","800","146","146","146"
"62.032341216","809","809","809","147","147","147"
"62.227138766","824","824","824","150","150","150"
"62.272606305","829","829","829","151","151","151"
"62.318366686","834","834","834","152","152","152"
"62.361682941","839","839","839","153","153","153"
"62.402942521","844","844","844","154","154","154"
"62.443169414","849","849","849","155","155","155"
"62.481153967","854","854","854","156","156","156"
"62.563396396","864","864","864","158","158","158"
"64.305321578","873","873","873","159","159","159"
"64.446730647","883","883","883","161","161","161"
"64.7228212","903","903","903","165","165","165"
"64.768327588","908","908","908","166","166","166"
"64.809140283","913","913","913","167","167","167"
"64.845571195","918","918","918","168","168","168"
"64.8808482","923","923","923","169","169","169"
"64.917621259","928","928","928","170","170","170"
"66.549123308","937","937","937","171","171","171"
"66.751385802","962","962","962","176","176","176"
"66.78997903","967","967","967","177","177","177"
"66.939771501","982","982","982","180","180","180"
"67.054186039","992","992","992","182","182","182"
"70.207093614","1007","1007","1007","183","183","183"
"70.29152738","1017","1017","1017","185","185","185"
"70.374883523","1027","1027","1027","187","187","187"
"70.420240697","1032","1032","1032","188","188","188"
"70.463031064","1037","1037","1037","189","189","189"
"70.542239295","1047","1047","1047","191","191","191"
"70.583908682","1052","1052","1052","192","192","192"
"72.314179037","1060","1060","1060","193","193","193"
"72.363043599","1065","1065","1065","194","194","194"
"72.41425379","1070","1070","1070","195","195","195"
"72.463415505","1075","1075","1075","196","196","196"
"72.576844267","1085","1085","1085","198","198","198"
"72.622191943","1090","1090","1090","199","199","199"
"72.660893765","1095","1095","1095","200","200","200"
"72.705427699","1100","1100","1100","201","201","201"
"72.741072516","1105","1105","1105","202","202","202"
"72.780322273","1110","1110","1110","203","203","203"
"74.64263063","1123","1123","1123","205","205","205"
"74.67709185","1128","1128","1128","206","206","206"
"74.711416916","1133","1133","1133","207","207","207"
"74.745470912","1138","1138","1138","208","208","208"
"74.851182715","1153","1153","1153","211","211","211"
"74.884806496","1158","1158","1158","212","212","212"
"74.919482293","1163","1163","1163","213","213","213"
"74.954991879","1168","1168","1168","214","214","214"
"74.991909575","1173","1173","1173","215","215","215"
"76.782851441","1191","1191","1191","218","218","218"
"76.854378573","1201","1201","1201","220","220","220"
"76.933089229","1211","1211","1211","222","222","222"
"76.970214425","1216","1216","1216","223","223","223"
"77.006288576","1221","1221","1221","224","224","224"
"77.042925722","1226","1226","1226","225","225","225"
"77.075500467","1231","1231","1231","226","226","226"
"77.143176983","1241","1241","1241","228","228","228"
"80.051581017","1256","1256","1256","229","229","229"
"80.083010575","1261","1261","1261","230","230","230"
"80.115867147","1266","1266","1266","231","231","231"
"80.148090661","1271","1271","1271","232","232","232"
"80.247579724","1286","1286","1286","235","235","235"
"80.280786586","1291","1291","1291","236","236","236"
"81.88378597","1310","1310","1310","239","239","239"
"81.9274941","1315","1315","1315","240","240","240"
"81.996095924","1325","1325","1325","242","242","242"
"82.067644994","1335","1335","1335","244","244","244"
"82.102175359","1340","1340","1340","245","245","245"
"82.135549236","1345","1345","1345","246","246","246"
"82.188459285","1350","1350","1350","247","247","247"
"82.237330243","1355","1355","1355","248","248","248"
"82.288036683","1360","1360","1360","249","249","249"
"82.337118817","1365","1365","1365","250","250","250"
"83.896509245","1374","1374","1374","251","251","251"
"84.082845175","1399","1399","1399","256","256","256"
"84.150887969","1409","1409","1409","258","258","258"
"84.186892124","1414","1414","1414","259","259","259"
"84.258129017","1424","1424","1424","261","261","261"
"84.300956355","1429","1429","1429","262","262","262"
"85.908079895","1438","1438","1438","263","263","263"
"85.944148681","1443","1443","1443","264","264","264"
"85.979801615","1448","1448","1448","265","265","265"
"86.015213933","1453","1453","1453","266","266","266"
"86.04952234","1458","1458","1458","267","267","267"
"86.090892047","1463","1463","1463","268","268","268"
"86.169794711","1473","1473","1473","270","270","270"
"86.209969106","1478","1478","1478","271","271","271"
"86.244215913","1483","1483","1483","272","272","272"
"86.282091782","1488","1488","1488","273","273","273"
"89.357723877","1503","1503","1503","274","274","274"
"89.397880457","1508","1508","1508","275","275","275"
"89.44306133","1513","1513","1513","276","276","276"
"89.482197519","1518","1518","1518","277","277","277"
"89.567237035","1528","1528","1528","279","279","279"
"89.645732974","1538","1538","1538","281","281","281"
