"Relative Time (Process)","astar_4seq_1 - _step","astar_4seq_1 - _step__MIN","astar_4seq_1 - _step__MAX","astar_4seq_1 - amount_of_options_explored","astar_4seq_1 - amount_of_options_explored__MIN","astar_4seq_1 - amount_of_options_explored__MAX"
"15.939283071","4","4","4","1","1","1"
"19.823084701","66","66","66","2","2","2"
"23.291214243","123","123","123","3","3","3"
"26.761138578","180","180","180","4","4","4"
"30.336326113","237","237","237","4","4","4"
"33.632398306","295","295","295","5","5","5"
"39.237852709","420","420","420","6","6","6"
"45.091366484","550","550","550","7","7","7"
"51.010713007","670","670","670","7","7","7"
"56.424595046","796","796","796","8","8","8"
"64.300345247","979","979","979","9","9","9"
"72.547523924","1157","1157","1157","9","9","9"
"75.774710163","1215","1215","1215","10","10","10"
"81.20797796","1340","1340","1340","11","11","11"
"86.863077256","1455","1455","1455","12","12","12"
"92.440561149","1570","1570","1570","12","12","12"
"97.94314403","1696","1696","1696","13","13","13"
"105.482175739","1884","1884","1884","14","14","14"
"112.917986351","2067","2067","2067","14","14","14"
"121.211575537","2256","2256","2256","15","15","15"
"131.14208994","2502","2502","2502","15","15","15"
"136.830047077","2628","2628","2628","16","16","16"
"144.432089274","2821","2821","2821","17","17","17"
"151.853934085","3009","3009","3009","17","17","17"
"155.487851501","3062","3062","3062","18","18","18"
"161.290048068","3177","3177","3177","19","19","19"
"166.876848542","3287","3287","3287","20","20","20"
"173.296053085","3407","3407","3407","20","20","20"
"181.22323062","3596","3596","3596","21","21","21"
"192.079686633","3847","3847","3847","21","21","21"
