"Relative Time (Process)","astar_4seq_2 - _step","astar_4seq_2 - _step__MIN","astar_4seq_2 - _step__MAX","astar_4seq_2 - amount_of_options_explored","astar_4seq_2 - amount_of_options_explored__MIN","astar_4seq_2 - amount_of_options_explored__MAX"
"17.216592951","4","4","4","1","1","1"
"21.326054733","61","61","61","2","2","2"
"24.77446672","113","113","113","3","3","3"
"28.279752041","170","170","170","4","4","4"
"31.769754613","227","227","227","4","4","4"
"35.269835303","285","285","285","5","5","5"
"40.764374862","400","400","400","6","6","6"
"46.270448391","515","515","515","7","7","7"
"51.813788996","625","625","625","7","7","7"
"55.294090928","678","678","678","8","8","8"
"60.740579698","798","798","798","9","9","9"
"66.348130322","918","918","918","10","10","10"
"71.891918839","1033","1033","1033","10","10","10"
"75.330168492","1091","1091","1091","11","11","11"
"80.781110948","1206","1206","1206","12","12","12"
"86.301414666","1316","1316","1316","13","13","13"
"91.766108328","1436","1436","1436","13","13","13"
"97.324381778","1557","1557","1557","14","14","14"
"104.76694534","1730","1730","1730","15","15","15"
"112.483407417","1903","1903","1903","15","15","15"
"118.013875262","2019","2019","2019","16","16","16"
"125.921903338","2207","2207","2207","17","17","17"
"133.517680915","2385","2385","2385","17","17","17"
"139.037336161","2501","2501","2501","18","18","18"
"146.958929987","2679","2679","2679","19","19","19"
"154.929390771","2852","2852","2852","19","19","19"
"160.780268933","2963","2963","2963","20","20","20"
"168.50174293","3141","3141","3141","21","21","21"
"176.504553717","3319","3319","3319","21","21","21"
"182.286091613","3425","3425","3425","22","22","22"
"190.417470902","3608","3608","3608","23","23","23"
"198.125340009","3776","3776","3776","23","23","23"
"205.845750928","3955","3955","3955","24","24","24"
"215.378765104","4191","4191","4191","24","24","24"
"223.21209172","4375","4375","4375","25","25","25"
"233.356404254","4626","4626","4626","25","25","25"
"239.206752009","4747","4747","4747","26","26","26"
"246.961896119","4920","4920","4920","27","27","27"
"254.8826628","5093","5093","5093","27","27","27"
"260.661721507","5214","5214","5214","28","28","28"
"268.51516557","5392","5392","5392","29","29","29"
"276.823514825","5580","5580","5580","29","29","29"
"284.858623308","5759","5759","5759","30","30","30"
"294.788262583","5995","5995","5995","30","30","30"
"302.766089226","6169","6169","6169","31","31","31"
"312.676122854","6405","6405","6405","31","31","31"
"316.270328942","6468","6468","6468","32","32","32"
"321.938133521","6593","6593","6593","33","33","33"
"327.828371472","6718","6718","6718","34","34","34"
"333.860173825","6843","6843","6843","34","34","34"
"339.67258913","6959","6959","6959","35","35","35"
"347.820138285","7142","7142","7142","36","36","36"
"355.903184974","7315","7315","7315","36","36","36"
"364.199801991","7504","7504","7504","37","37","37"
"374.903231706","7760","7760","7760","37","37","37"
"380.806895369","7881","7881","7881","38","38","38"
"389.189357985","8059","8059","8059","39","39","39"
"397.69967093","8237","8237","8237","39","39","39"
"403.856245782","8363","8363","8363","40","40","40"
"412.186851087","8551","8551","8551","41","41","41"
"420.603202006","8734","8734","8734","41","41","41"
"429.336801034","8918","8918","8918","42","42","42"
"439.748500017","9164","9164","9164","42","42","42"
"448.344591274","9348","9348","9348","43","43","43"
"459.401150018","9584","9584","9584","43","43","43"
