"Relative Time (Process)","astar_4seq_6 - _step","astar_4seq_6 - _step__MIN","astar_4seq_6 - _step__MAX","astar_4seq_6 - amount_of_options_explored","astar_4seq_6 - amount_of_options_explored__MIN","astar_4seq_6 - amount_of_options_explored__MAX"
"23.36055011","4","4","4","1","1","1"
"27.324489583","66","66","66","2","2","2"
"31.010942929","123","123","123","3","3","3"
"34.63192234","180","180","180","4","4","4"
"38.37048468","242","242","242","4","4","4"
"41.610535315","300","300","300","5","5","5"
"46.772551276","425","425","425","6","6","6"
"52.123633419","545","545","545","7","7","7"
"57.542266437","665","665","665","7","7","7"
"61.190852862","723","723","723","8","8","8"
"66.617855267","838","838","838","9","9","9"
"72.059294737","948","948","948","10","10","10"
"77.639021334","1063","1063","1063","10","10","10"
"83.216061708","1184","1184","1184","11","11","11"
"91.141010941","1367","1367","1367","12","12","12"
"99.535168685","1550","1550","1550","12","12","12"
"102.969202531","1613","1613","1613","13","13","13"
"108.801668921","1733","1733","1733","14","14","14"
"114.427843375","1858","1858","1858","15","15","15"
"120.180645884","1978","1978","1978","15","15","15"
"128.212949869","2147","2147","2147","16","16","16"
"137.924618844","2383","2383","2383","16","16","16"
"141.640883977","2441","2441","2441","17","17","17"
"147.334439538","2556","2556","2556","18","18","18"
"153.403127426","2676","2676","2676","19","19","19"
"159.529136811","2791","2791","2791","19","19","19"
"165.592079131","2907","2907","2907","20","20","20"
"173.719280981","3105","3105","3105","21","21","21"
"181.550868774","3288","3288","3288","21","21","21"
"187.482887468","3409","3409","3409","22","22","22"
"195.742427807","3582","3582","3582","23","23","23"
"203.098617763","3755","3755","3755","23","23","23"
"208.905773068","3876","3876","3876","24","24","24"
"216.775053382","4054","4054","4054","25","25","25"
"224.431175645","4227","4227","4227","25","25","25"
"230.724688597","4343","4343","4343","26","26","26"
"238.937854168","4521","4521","4521","27","27","27"
"247.763815789","4704","4704","4704","27","27","27"
"253.877822507","4830","4830","4830","28","28","28"
"262.111689026","5018","5018","5018","29","29","29"
"270.273758088","5206","5206","5206","29","29","29"
"278.686104917","5380","5380","5380","30","30","30"
"288.91513621","5616","5616","5616","30","30","30"
"297.446100064","5800","5800","5800","31","31","31"
"308.09140551","6041","6041","6041","31","31","31"
"316.855150611","6230","6230","6230","32","32","32"
"328.195414687","6481","6481","6481","32","32","32"
"334.382665928","6592","6592","6592","33","33","33"
"342.685281136","6775","6775","6775","34","34","34"
"351.334986982","6953","6953","6953","34","34","34"
"359.606788394","7132","7132","7132","35","35","35"
"370.726585678","7373","7373","7373","35","35","35"
"379.785834592","7552","7552","7552","36","36","36"
"390.412383881","7798","7798","7798","36","36","36"
"397.119675081","7919","7919","7919","37","37","37"
"405.216742574","8107","8107","8107","38","38","38"
"414.19896092","8285","8285","8285","38","38","38"
"422.588558436","8464","8464","8464","39","39","39"
"433.76845719","8705","8705","8705","39","39","39"
