"Relative Time (Process)","DQN_4seq_9 - _step","DQN_4seq_9 - _step__MIN","DQN_4seq_9 - _step__MAX","DQN_4seq_9 - amount_of_options_explored","DQN_4seq_9 - amount_of_options_explored__MIN","DQN_4seq_9 - amount_of_options_explored__MAX"
"31.458530758","6","6","6","1","1","1"
"33.943946358","60","60","60","2","2","2"
"36.082604108","124","124","124","3","3","3"
"38.174139877","188","188","188","4","4","4"
"41.702130963","254","254","254","5","5","5"
"43.830424577","313","313","313","6","6","6"
"46.009456348","377","377","377","7","7","7"
"48.06927377","441","441","441","8","8","8"
"51.557293774","507","507","507","9","9","9"
"53.433827207","561","561","561","10","10","10"
"55.564322049","620","620","620","11","11","11"
"57.671863732","684","684","684","12","12","12"
"65.04466735","861","861","861","13","13","13"
"67.036260057","920","920","920","14","14","14"
"72.443779429","1034","1034","1034","15","15","15"
"74.398913964","1098","1098","1098","16","16","16"
"76.38822792","1157","1157","1157","17","17","17"
"93.608290026","1578","1578","1578","18","18","18"
"95.591628238","1637","1637","1637","19","19","19"
"538.368649382","11989","11989","11989","20","20","20"
"540.655366277","12048","12048","12048","21","21","21"
"542.867983209","12112","12112","12112","22","22","22"
"557.449226801","12412","12412","12412","23","23","23"
"559.65839403","12466","12466","12466","24","24","24"
"561.968052932","12525","12525","12525","25","25","25"
"564.334614835","12589","12589","12589","26","26","26"
"572.714666157","12771","12771","12771","27","27","27"
"574.994793476","12840","12840","12840","28","28","28"
"592.221128195","13208","13208","13208","29","29","29"
"594.682048584","13267","13267","13267","30","30","30"
"597.012903348","13331","13331","13331","31","31","31"
"614.267243304","13689","13689","13689","32","32","32"
"616.51087893","13753","13753","13753","33","33","33"
"618.865441428","13817","13817","13817","34","34","34"
"660.479075787","14731","14731","14731","35","35","35"
"662.83656339","14795","14795","14795","36","36","36"
"839.809602038","18589","18589","18589","37","37","37"
"842.398613186","18653","18653","18653","38","38","38"
"844.904508436","18717","18717","18717","39","39","39"
"887.356590124","19578","19578","19578","40","40","40"
"889.884787163","19642","19642","19642","41","41","41"
"892.337728978","19701","19701","19701","42","42","42"
"925.592747772","20371","20371","20371","43","43","43"
"928.145146612","20430","20430","20430","44","44","44"
"1166.289700357","25248","25248","25248","45","45","45"
"1168.804207467","25312","25312","25312","46","46","46"
"1199.50793155","25929","25929","25929","47","47","47"
"1202.021643189","25993","25993","25993","48","48","48"
"1204.695188125","26062","26062","26062","49","49","49"
"1211.711860859","26186","26186","26186","50","50","50"
"1214.280871437","26250","26250","26250","51","51","51"
"1216.980021535","26319","26319","26319","52","52","52"
"1287.511380758","27771","27771","27771","53","53","53"
"1290.125651648","27830","27830","27830","54","54","54"
