"Relative Time (Process)","DQN2 - _step","DQN2 - _step__MIN","DQN2 - _step__MAX","DQN2 - rewards_per_sequence","DQN2 - rewards_per_sequence__MIN","DQN2 - rewards_per_sequence__MAX"
"14.912362657","4","4","4","0","0","0"
"23.204416184","221","221","221","-5.13","-5.13","-5.13"
"31.558007285","444","444","444","-4.87","-4.87","-4.87"
"39.279913659","664","664","664","-4.87","-4.87","-4.87"
"46.92022863","875","875","875","-3.91","-3.91","-3.91"
"54.285375693","1083","1083","1083","-3.91","-3.91","-3.91"
"61.678009116","1291","1291","1291","-3.91","-3.91","-3.91"
"69.220958093","1505","1505","1505","-3.91","-3.91","-3.91"
"76.772380612","1731","1731","1731","-3.91","-3.91","-3.91"
"84.265376604","1947","1947","1947","-4.58","-4.58","-4.58"
"91.768085331","2155","2155","2155","-4.58","-4.58","-4.58"
"99.285509938","2369","2369","2369","-4.58","-4.58","-4.58"
"106.822007512","2583","2583","2583","-4.58","-4.58","-4.58"
"114.201754885","2791","2791","2791","-4.58","-4.58","-4.58"
"121.793011506","3005","3005","3005","-4.58","-4.58","-4.58"
"129.618291672","3219","3219","3219","-4.58","-4.58","-4.58"
"137.298024776","3433","3433","3433","-4.58","-4.58","-4.58"
"145.210074881","3647","3647","3647","-4.58","-4.58","-4.58"
"153.082924503","3861","3861","3861","-4.58","-4.58","-4.58"
"161.420926351","4075","4075","4075","-3.91","-3.91","-3.91"
"169.602767714","4289","4289","4289","-3.91","-3.91","-3.91"
"177.571015294","4515","4515","4515","-3.91","-3.91","-3.91"
"185.800014375","4729","4729","4729","-3.91","-3.91","-3.91"
"194.431373506","4949","4949","4949","-3.91","-3.91","-3.91"
"202.888568505","5169","5169","5169","-4.58","-4.58","-4.58"
"211.129537152","5389","5389","5389","-4.58","-4.58","-4.58"
"219.79292593","5597","5597","5597","-4.58","-4.58","-4.58"
"227.67955114","5817","5817","5817","-4.58","-4.58","-4.58"
"236.192121523","6031","6031","6031","-4.58","-4.58","-4.58"
"244.651000101","6245","6245","6245","-4.58","-4.58","-4.58"
"253.07147869","6453","6453","6453","-4.58","-4.58","-4.58"
"261.362740226","6679","6679","6679","-4.58","-4.58","-4.58"
"269.470480385","6905","6905","6905","-4.58","-4.58","-4.58"
"278.271929971","7119","7119","7119","-4.58","-4.58","-4.58"
"287.205593921","7333","7333","7333","-4.58","-4.58","-4.58"
"295.211606484","7547","7547","7547","-4.58","-4.58","-4.58"
"304.374830641","7761","7761","7761","-4.58","-4.58","-4.58"
"312.788010024","7969","7969","7969","-4.58","-4.58","-4.58"
"321.030673401","8189","8189","8189","-4.58","-4.58","-4.58"
"328.837522726","8397","8397","8397","-4.58","-4.58","-4.58"
"337.016871682","8617","8617","8617","-4.58","-4.58","-4.58"
"345.258679664","8837","8837","8837","-4.58","-4.58","-4.58"
"353.76868271","9063","9063","9063","-4.58","-4.58","-4.58"
"362.362735901","9283","9283","9283","-4.58","-4.58","-4.58"
"370.513912496","9503","9503","9503","-4.58","-4.58","-4.58"
"378.560414919","9717","9717","9717","-4.58","-4.58","-4.58"
"387.080768347","9943","9943","9943","-4.58","-4.58","-4.58"
"395.507745773","10151","10151","10151","-4.58","-4.58","-4.58"
"403.918030692","10365","10365","10365","-4.58","-4.58","-4.58"
"412.36064458","10573","10573","10573","-4.58","-4.58","-4.58"
"421.501395049","10793","10793","10793","-4.58","-4.58","-4.58"
"429.959807119","11019","11019","11019","-4.58","-4.58","-4.58"
"438.826857013","11239","11239","11239","-4.58","-4.58","-4.58"
"447.290877835","11465","11465","11465","-4.58","-4.58","-4.58"
"455.80784631","11673","11673","11673","-4.58","-4.58","-4.58"
"464.288072407","11893","11893","11893","-4.58","-4.58","-4.58"
"472.792327174","12107","12107","12107","-4.58","-4.58","-4.58"
"481.220069661","12315","12315","12315","-4.58","-4.58","-4.58"
"489.682427808","12529","12529","12529","-4.58","-4.58","-4.58"
"497.963717335","12737","12737","12737","-4.58","-4.58","-4.58"
"506.294526209","12957","12957","12957","-4.58","-4.58","-4.58"
"514.750269689","13171","13171","13171","-4.58","-4.58","-4.58"
"523.308721328","13391","13391","13391","-4.58","-4.58","-4.58"
"532.450003992","13605","13605","13605","-4.58","-4.58","-4.58"
"541.684321625","13819","13819","13819","-4.58","-4.58","-4.58"
"550.789545249","14021","14021","14021","-4.58","-4.58","-4.58"
"560.027616909","14241","14241","14241","-4.58","-4.58","-4.58"
"569.495301055","14467","14467","14467","-4.58","-4.58","-4.58"
"578.72500392","14687","14687","14687","-4.58","-4.58","-4.58"
"587.584391345","14909","14909","14909","-4.67","-4.67","-4.67"
"596.97436925","15135","15135","15135","-4.67","-4.67","-4.67"
"605.712261872","15361","15361","15361","-4.67","-4.67","-4.67"
"614.222824661","15581","15581","15581","-4.67","-4.67","-4.67"
"623.162589211","15807","15807","15807","-4.67","-4.67","-4.67"
"632.179227047","16033","16033","16033","-4.67","-4.67","-4.67"
"640.772104479","16253","16253","16253","-4.67","-4.67","-4.67"
"649.531803134","16479","16479","16479","-4.67","-4.67","-4.67"
"658.20245237","16699","16699","16699","-4.67","-4.67","-4.67"
"667.152770479","16919","16919","16919","-4.67","-4.67","-4.67"
"675.862038873","17151","17151","17151","-4.67","-4.67","-4.67"
"685.139267618","17377","17377","17377","-4.67","-4.67","-4.67"
"694.385607367","17591","17591","17591","-3.91","-3.91","-3.91"
"703.187843438","17799","17799","17799","-3.91","-3.91","-3.91"
"712.156433757","18007","18007","18007","-3.91","-3.91","-3.91"
"721.156495472","18227","18227","18227","-3.91","-3.91","-3.91"
"730.144933954","18441","18441","18441","-3.91","-3.91","-3.91"
"739.292401511","18655","18655","18655","-3.91","-3.91","-3.91"
"748.641524623","18881","18881","18881","-4.67","-4.67","-4.67"
"757.60906083","19113","19113","19113","-4.67","-4.67","-4.67"
"767.439268169","19339","19339","19339","-4.67","-4.67","-4.67"
"776.585693232","19553","19553","19553","-3.91","-3.91","-3.91"
"785.936931039","19773","19773","19773","-4.67","-4.67","-4.67"
"795.18715151","19999","19999","19999","-4.67","-4.67","-4.67"
"804.374455208","20219","20219","20219","-4.67","-4.67","-4.67"
"813.702120182","20445","20445","20445","-4.67","-4.67","-4.67"
"822.853885842","20665","20665","20665","-4.67","-4.67","-4.67"
"832.489257275","20885","20885","20885","-4.67","-4.67","-4.67"
"841.590158105","21111","21111","21111","-4.67","-4.67","-4.67"
"851.108466717","21337","21337","21337","-4.67","-4.67","-4.67"
"860.960835573","21563","21563","21563","-4.67","-4.67","-4.67"
"870.230395956","21789","21789","21789","-4.67","-4.67","-4.67"
"879.585919733","22009","22009","22009","-4.67","-4.67","-4.67"
"889.00891531","22235","22235","22235","-4.67","-4.67","-4.67"
"898.349225597","22461","22461","22461","-4.67","-4.67","-4.67"
"907.889491443","22671","22671","22671","-4.59","-4.59","-4.59"
"917.148025492","22885","22885","22885","-4.59","-4.59","-4.59"
"926.688003056","23105","23105","23105","-4.59","-4.59","-4.59"
"935.941723301","23313","23313","23313","-4.59","-4.59","-4.59"
"945.076391659","23527","23527","23527","-4.59","-4.59","-4.59"
"954.379456066","23735","23735","23735","-3.91","-3.91","-3.91"
"963.652715983","23943","23943","23943","-3.91","-3.91","-3.91"
"973.007958625","24151","24151","24151","-3.91","-3.91","-3.91"
"983.168322978","24365","24365","24365","-3.91","-3.91","-3.91"
"992.832396089","24591","24591","24591","-3.91","-3.91","-3.91"
"1002.335136577","24805","24805","24805","-4.59","-4.59","-4.59"
"1012.106112913","25019","25019","25019","-4.59","-4.59","-4.59"
"1021.255999009","25227","25227","25227","-3.91","-3.91","-3.91"
"1030.79860632","25447","25447","25447","-3.91","-3.91","-3.91"
"1040.190022722","25667","25667","25667","-3.91","-3.91","-3.91"
"1049.555133848","25887","25887","25887","-3.91","-3.91","-3.91"
"1059.099505799","26101","26101","26101","-3.91","-3.91","-3.91"
"1068.194698489","26315","26315","26315","-3.91","-3.91","-3.91"
"1077.848071179","26529","26529","26529","-3.91","-3.91","-3.91"
"1086.901343225","26743","26743","26743","-3.91","-3.91","-3.91"
"1096.345243121","26957","26957","26957","-3.91","-3.91","-3.91"
"1105.872854837","27171","27171","27171","-3.91","-3.91","-3.91"
"1115.773600315","27385","27385","27385","-3.91","-3.91","-3.91"
"1124.988530825","27599","27599","27599","-3.91","-3.91","-3.91"
"1134.320118589","27813","27813","27813","-3.91","-3.91","-3.91"
"1144.035873477","28027","28027","28027","-3.91","-3.91","-3.91"
"1153.75754806","28247","28247","28247","-3.91","-3.91","-3.91"
"1163.36949944","28461","28461","28461","-3.91","-3.91","-3.91"
"1172.762111804","28675","28675","28675","-3.91","-3.91","-3.91"
"1182.464228682","28895","28895","28895","-3.91","-3.91","-3.91"
"1191.937148802","29109","29109","29109","-3.91","-3.91","-3.91"
"1201.076467992","29329","29329","29329","-3.91","-3.91","-3.91"
"1210.43816461","29537","29537","29537","-3.91","-3.91","-3.91"
"1219.706284424","29751","29751","29751","-3.91","-3.91","-3.91"
"1229.085209571","29959","29959","29959","-3.91","-3.91","-3.91"
"1238.598017067","30173","30173","30173","-3.91","-3.91","-3.91"
"1248.009672158","30387","30387","30387","-3.91","-3.91","-3.91"
"1257.513763948","30601","30601","30601","-3.91","-3.91","-3.91"
"1267.001927806","30815","30815","30815","-3.91","-3.91","-3.91"
"1276.430058948","31029","31029","31029","-3.91","-3.91","-3.91"
"1286.1921644","31249","31249","31249","-3.91","-3.91","-3.91"
"1295.697005299","31457","31457","31457","-3.91","-3.91","-3.91"
"1305.194900264","31665","31665","31665","-3.91","-3.91","-3.91"
"1314.95224644","31879","31879","31879","-3.91","-3.91","-3.91"
"1324.026642534","32087","32087","32087","-3.91","-3.91","-3.91"
"1333.660789679","32301","32301","32301","-3.91","-3.91","-3.91"
"1343.415323709","32509","32509","32509","-3.91","-3.91","-3.91"
"1352.707467443","32717","32717","32717","-3.91","-3.91","-3.91"
"1362.285997514","32925","32925","32925","-3.91","-3.91","-3.91"
"1371.952180425","33139","33139","33139","-3.91","-3.91","-3.91"
"1381.704943795","33359","33359","33359","-3.91","-3.91","-3.91"
"1391.680891127","33573","33573","33573","-3.91","-3.91","-3.91"
"1401.400406291","33787","33787","33787","-3.91","-3.91","-3.91"
"1411.433199619","34001","34001","34001","-3.91","-3.91","-3.91"
"1421.431232358","34221","34221","34221","-3.91","-3.91","-3.91"
"1431.451170445","34435","34435","34435","-3.91","-3.91","-3.91"
"1441.205638981","34649","34649","34649","-3.91","-3.91","-3.91"
"1451.417863851","34863","34863","34863","-3.91","-3.91","-3.91"
"1461.12362054","35071","35071","35071","-3.91","-3.91","-3.91"
"1471.245689713","35279","35279","35279","-3.91","-3.91","-3.91"
"1480.896122689","35493","35493","35493","-3.91","-3.91","-3.91"
"1491.012826274","35707","35707","35707","-3.91","-3.91","-3.91"
"1501.369083372","35927","35927","35927","-3.91","-3.91","-3.91"
"1511.666080313","36147","36147","36147","-3.91","-3.91","-3.91"
"1521.822842348","36355","36355","36355","-3.91","-3.91","-3.91"
"1532.146412441","36569","36569","36569","-3.91","-3.91","-3.91"
"1542.723814772","36783","36783","36783","-3.91","-3.91","-3.91"
"1552.962146399","36997","36997","36997","-3.91","-3.91","-3.91"
"1562.88450263","37211","37211","37211","-3.91","-3.91","-3.91"
"1573.166220405","37431","37431","37431","-3.91","-3.91","-3.91"
