"Relative Time (Process)","DQN10 - _step","DQN10 - _step__MIN","DQN10 - _step__MAX","DQN10 - amount_of_options_explored","DQN10 - amount_of_options_explored__MIN","DQN10 - amount_of_options_explored__MAX"
"10.437973447","6","6","6","1","1","1"
"12.865814674","76","76","76","2","2","2"
"15.171253007","152","152","152","3","3","3"
"19.068301277","229","229","229","4","4","4"
"20.967579707","293","293","293","5","5","5"
"22.813815543","363","363","363","6","6","6"
"28.356042042","509","509","509","7","7","7"
"30.286981282","579","579","579","8","8","8"
"33.577145283","662","662","662","9","9","9"
"35.401481672","726","726","726","10","10","10"
"37.419552021","802","802","802","11","11","11"
"57.968988999","1382","1382","1382","12","12","12"
"60.011378172","1458","1458","1458","13","13","13"
"422.479209514","11386","11386","11386","14","14","14"
"424.974003948","11462","11462","11462","15","15","15"
