"Relative Time (Process)","DQN10 - _step","DQN10 - _step__MIN","DQN10 - _step__MAX","DQN10 - rewards_per_sequence","DQN10 - rewards_per_sequence__MIN","DQN10 - rewards_per_sequence__MAX"
"10.415535133","4","4","4","0","0","0"
"19.066578425","227","227","227","-5.289999999999999","-5.289999999999999","-5.289999999999999"
"26.455708336","444","444","444","-4.86","-4.86","-4.86"
"33.575831602","660","660","660","-4.64","-4.64","-4.64"
"41.127569622","883","883","883","-4.48","-4.48","-4.48"
"48.27251185","1103","1103","1103","-4.48","-4.48","-4.48"
"56.045079886","1317","1317","1317","-4.48","-4.48","-4.48"
"63.532868084","1533","1533","1533","-4.42","-4.42","-4.42"
"71.638896936","1771","1771","1771","-4.48","-4.48","-4.48"
"79.645950181","1997","1997","1997","-4.48","-4.48","-4.48"
"87.467218244","2217","2217","2217","-4.42","-4.42","-4.42"
"95.158144663","2425","2425","2425","-4.42","-4.42","-4.42"
"102.720881475","2639","2639","2639","-4.42","-4.42","-4.42"
"110.69680121","2859","2859","2859","-4.42","-4.42","-4.42"
"118.302098378","3079","3079","3079","-4.42","-4.42","-4.42"
"126.225640553","3299","3299","3299","-4.42","-4.42","-4.42"
"133.980959139","3525","3525","3525","-4.48","-4.48","-4.48"
"141.507601163","3739","3739","3739","-4.48","-4.48","-4.48"
"149.014018791","3959","3959","3959","-4.48","-4.48","-4.48"
"156.633728407","4179","4179","4179","-4.48","-4.48","-4.48"
"164.817578316","4399","4399","4399","-4.48","-4.48","-4.48"
"172.667275968","4625","4625","4625","-4.48","-4.48","-4.48"
"180.614324432","4851","4851","4851","-4.48","-4.48","-4.48"
"188.171607858","5071","5071","5071","-4.48","-4.48","-4.48"
"196.064349231","5297","5297","5297","-4.48","-4.48","-4.48"
"204.041358074","5523","5523","5523","-4.48","-4.48","-4.48"
"212.161880276","5743","5743","5743","-4.48","-4.48","-4.48"
"220.219987487","5969","5969","5969","-4.48","-4.48","-4.48"
"228.540169736","6189","6189","6189","-4.48","-4.48","-4.48"
"236.995891352","6415","6415","6415","-4.48","-4.48","-4.48"
"244.994315078","6635","6635","6635","-4.48","-4.48","-4.48"
"253.012245184","6867","6867","6867","-4.48","-4.48","-4.48"
"260.818700221","7099","7099","7099","-4.48","-4.48","-4.48"
"268.616454662","7313","7313","7313","-4.48","-4.48","-4.48"
"276.536911312","7539","7539","7539","-4.48","-4.48","-4.48"
"284.464760768","7759","7759","7759","-4.48","-4.48","-4.48"
"292.590830247","7985","7985","7985","-4.48","-4.48","-4.48"
"301.307632362","8211","8211","8211","-4.48","-4.48","-4.48"
"309.290196845","8437","8437","8437","-4.48","-4.48","-4.48"
"317.281481819","8657","8657","8657","-4.48","-4.48","-4.48"
"325.665480685","8877","8877","8877","-4.48","-4.48","-4.48"
"333.985343394","9103","9103","9103","-4.48","-4.48","-4.48"
"341.937558694","9323","9323","9323","-4.48","-4.48","-4.48"
"350.997942629","9555","9555","9555","-4.48","-4.48","-4.48"
"359.529249711","9775","9775","9775","-4.48","-4.48","-4.48"
"368.243607752","9995","9995","9995","-4.48","-4.48","-4.48"
"376.910032638","10221","10221","10221","-4.48","-4.48","-4.48"
"386.094214215","10435","10435","10435","-4.48","-4.48","-4.48"
"394.702659388","10655","10655","10655","-4.48","-4.48","-4.48"
"402.905301573","10881","10881","10881","-4.48","-4.48","-4.48"
"410.95812544","11095","11095","11095","-4.48","-4.48","-4.48"
"419.99279159","11315","11315","11315","-4.48","-4.48","-4.48"
"428.91625824","11543","11543","11543","-4.47","-4.47","-4.47"
"437.515382923","11757","11757","11757","-4.48","-4.48","-4.48"
"445.52790844","11977","11977","11977","-4.48","-4.48","-4.48"
"453.320144709","12209","12209","12209","-4.48","-4.48","-4.48"
"461.291293255","12423","12423","12423","-4.48","-4.48","-4.48"
"469.90146764","12649","12649","12649","-4.48","-4.48","-4.48"
"478.636835036","12869","12869","12869","-4.48","-4.48","-4.48"
"486.746211941","13089","13089","13089","-4.48","-4.48","-4.48"
"495.608730303","13315","13315","13315","-4.48","-4.48","-4.48"
"503.605620021","13547","13547","13547","-4.48","-4.48","-4.48"
"512.117598655","13773","13773","13773","-4.48","-4.48","-4.48"
"520.394625819","14005","14005","14005","-4.48","-4.48","-4.48"
"528.937250809","14225","14225","14225","-4.48","-4.48","-4.48"
"537.643739613","14457","14457","14457","-4.48","-4.48","-4.48"
"546.101309268","14677","14677","14677","-4.48","-4.48","-4.48"
"554.848614049","14903","14903","14903","-4.48","-4.48","-4.48"
"563.108000274","15117","15117","15117","-4.42","-4.42","-4.42"
"571.781672081","15331","15331","15331","-4.42","-4.42","-4.42"
"579.972967585","15545","15545","15545","-4.86","-4.86","-4.86"
"588.738687119","15765","15765","15765","-4.86","-4.86","-4.86"
"597.533675228","15991","15991","15991","-4.86","-4.86","-4.86"
"605.988283597","16205","16205","16205","-4.86","-4.86","-4.86"
"614.968049129","16431","16431","16431","-4.86","-4.86","-4.86"
"623.707496334","16651","16651","16651","-4.86","-4.86","-4.86"
"632.212399613","16871","16871","16871","-4.86","-4.86","-4.86"
"640.577665064","17097","17097","17097","-4.48","-4.48","-4.48"
"648.997036536","17323","17323","17323","-4.48","-4.48","-4.48"
"658.262624455","17549","17549","17549","-4.42","-4.42","-4.42"
"666.565728284","17757","17757","17757","-4.42","-4.42","-4.42"
"675.440626586","17965","17965","17965","-4.42","-4.42","-4.42"
"683.977588165","18179","18179","18179","-4.42","-4.42","-4.42"
"692.627584124","18381","18381","18381","-4.42","-4.42","-4.42"
"701.548938611","18601","18601","18601","-4.42","-4.42","-4.42"
"710.420108919","18821","18821","18821","-4.42","-4.42","-4.42"
"719.173985774","19029","19029","19029","-4.42","-4.42","-4.42"
"727.635378675","19243","19243","19243","-4.42","-4.42","-4.42"
"736.446800948","19457","19457","19457","-4.42","-4.42","-4.42"
"745.244703483","19665","19665","19665","-4.42","-4.42","-4.42"
"754.441108364","19879","19879","19879","-4.42","-4.42","-4.42"
"763.711821375","20093","20093","20093","-4.42","-4.42","-4.42"
"773.354029399","20307","20307","20307","-4.42","-4.42","-4.42"
"783.074095589","20533","20533","20533","-4.42","-4.42","-4.42"
"793.135386099","20747","20747","20747","-4.42","-4.42","-4.42"
"802.960281967","20967","20967","20967","-4.42","-4.42","-4.42"
"812.03822776","21181","21181","21181","-4.42","-4.42","-4.42"
"821.150573475","21395","21395","21395","-4.42","-4.42","-4.42"
"829.880205311","21603","21603","21603","-4.42","-4.42","-4.42"
"839.370937422","21817","21817","21817","-4.42","-4.42","-4.42"
"848.461838","22043","22043","22043","-4.42","-4.42","-4.42"
"857.465356603","22263","22263","22263","-4.42","-4.42","-4.42"
"866.741610055","22483","22483","22483","-4.42","-4.42","-4.42"
"875.64626093","22697","22697","22697","-4.42","-4.42","-4.42"
"884.610149738","22917","22917","22917","-4.42","-4.42","-4.42"
"893.427741974","23131","23131","23131","-4.47","-4.47","-4.47"
"902.439195772","23345","23345","23345","-4.47","-4.47","-4.47"
"911.673677049","23565","23565","23565","-4.47","-4.47","-4.47"
"920.537377447","23791","23791","23791","-4.47","-4.47","-4.47"
"929.770811522","24023","24023","24023","-4.47","-4.47","-4.47"
"938.916295863","24243","24243","24243","-4.47","-4.47","-4.47"
"948.073077783","24469","24469","24469","-4.47","-4.47","-4.47"
"957.233869207","24689","24689","24689","-4.47","-4.47","-4.47"
"966.278162552","24915","24915","24915","-4.47","-4.47","-4.47"
"975.409471332","25135","25135","25135","-4.47","-4.47","-4.47"
"984.358513912","25355","25355","25355","-4.42","-4.42","-4.42"
"993.341233353","25569","25569","25569","-4.42","-4.42","-4.42"
"1002.662270252","25789","25789","25789","-4.42","-4.42","-4.42"
"1011.902768031","26009","26009","26009","-4.42","-4.42","-4.42"
"1021.627731958","26217","26217","26217","-4.42","-4.42","-4.42"
"1030.761512596","26437","26437","26437","-4.42","-4.42","-4.42"
"1040.084107207","26651","26651","26651","-4.42","-4.42","-4.42"
"1049.622980298","26865","26865","26865","-4.42","-4.42","-4.42"
"1059.79441507","27091","27091","27091","-4.42","-4.42","-4.42"
"1069.655762896","27311","27311","27311","-4.42","-4.42","-4.42"
