"Relative Time (Process)","DQN_4seq_8 - _step","DQN_4seq_8 - _step__MIN","DQN_4seq_8 - _step__MAX","DQN_4seq_8 - amount_of_options_explored","DQN_4seq_8 - amount_of_options_explored__MIN","DQN_4seq_8 - amount_of_options_explored__MAX"
"30.405574728","6","6","6","1","1","1"
"33.084944839","55","55","55","2","2","2"
"35.519769544","114","114","114","3","3","3"
"37.456416731","178","178","178","4","4","4"
"41.18605608","244","244","244","5","5","5"
"43.461839438","298","298","298","6","6","6"
"45.75367417","357","357","357","7","7","7"
"47.715713173","426","426","426","8","8","8"
"51.276098826","497","497","497","9","9","9"
"53.341626545","551","551","551","10","10","10"
"55.300321931","615","615","615","11","11","11"
"57.460338669","674","674","674","12","12","12"
"63.80098812","803","803","803","13","13","13"
"65.774895223","862","862","862","14","14","14"
"68.17217542","926","926","926","15","15","15"
"85.673211386","1347","1347","1347","16","16","16"
"88.011296433","1406","1406","1406","17","17","17"
"572.866097244","12496","12496","12496","18","18","18"
"575.254795768","12555","12555","12555","19","19","19"
"577.730451483","12614","12614","12614","20","20","20"
"580.066158114","12673","12673","12673","21","21","21"
"597.608927963","13046","13046","13046","22","22","22"
"599.971000517","13115","13115","13115","23","23","23"
"602.548168819","13179","13179","13179","24","24","24"
"619.640584261","13547","13547","13547","25","25","25"
"622.092422748","13606","13606","13606","26","26","26"
"624.462122458","13665","13665","13665","27","27","27"
"687.875757112","15004","15004","15004","28","28","28"
"690.155584285","15068","15068","15068","29","29","29"
"692.687199993","15132","15132","15132","30","30","30"
"859.276464078","18672","18672","18672","31","31","31"
"861.954446755","18736","18736","18736","32","32","32"
"864.406032471","18795","18795","18795","33","33","33"
"873.294405783","18977","18977","18977","34","34","34"
"875.569777576","19041","19041","19041","35","35","35"
"927.774410176","20131","20131","20131","36","36","36"
"930.193520691","20195","20195","20195","37","37","37"
"932.685696145","20259","20259","20259","38","38","38"
"989.987519827","21387","21387","21387","39","39","39"
"992.543109308","21451","21451","21451","40","40","40"
"1083.619647333","23273","23273","23273","41","41","41"
"1086.517685867","23332","23332","23332","42","42","42"
"1089.210886475","23391","23391","23391","43","43","43"
"1185.323331231","25266","25266","25266","44","44","44"
"1187.976158089","25330","25330","25330","45","45","45"
"1208.27710308","25693","25693","25693","46","46","46"
"1211.461569815","25762","25762","25762","47","47","47"
"1214.151362124","25821","25821","25821","48","48","48"
