"Relative Time (Process)","DQN8 - _step","DQN8 - _step__MIN","DQN8 - _step__MAX","DQN8 - amount_of_options_explored","DQN8 - amount_of_options_explored__MIN","DQN8 - amount_of_options_explored__MAX"
"13.522234124","6","6","6","1","1","1"
"15.790568221000001","70","70","70","2","2","2"
"17.889215204","152","152","152","3","3","3"
"21.530720884","235","235","235","4","4","4"
"23.490026104000002","299","299","299","5","5","5"
"25.471424341","369","369","369","6","6","6"
"28.935854265","452","452","452","7","7","7"
"30.990700667","522","522","522","8","8","8"
"32.949887234","598","598","598","9","9","9"
"38.83716967","744","744","744","10","10","10"
"40.907820506","820","820","820","11","11","11"
"93.45562431","2328","2328","2328","12","12","12"
"95.348398661","2404","2404","2404","13","13","13"
"881.837609086","23204","23204","23204","14","14","14"
"884.260674785","23280","23280","23280","15","15","15"
