"Relative Time (Process)","DQN7 - _step","DQN7 - _step__MIN","DQN7 - _step__MAX","DQN7 - amount_of_options_explored","DQN7 - amount_of_options_explored__MIN","DQN7 - amount_of_options_explored__MAX"
"7.5772659319999995","6","6","6","1","1","1"
"9.947984318","70","70","70","2","2","2"
"12.088081294","152","152","152","3","3","3"
"15.917060697","235","235","235","4","4","4"
"17.988586155","293","293","293","5","5","5"
"20.057487728","363","363","363","6","6","6"
"23.624628764","446","446","446","7","7","7"
"25.690367346","510","510","510","8","8","8"
"27.953589026","580","580","580","9","9","9"
"40.958940593","940","940","940","10","10","10"
"43.140456025","1016","1016","1016","11","11","11"
"94.842239763","2518","2518","2518","12","12","12"
"97.040558872","2594","2594","2594","13","13","13"
"654.743936566","17426","17426","17426","14","14","14"
"657.19225369","17496","17496","17496","15","15","15"
