"Relative Time (Process)","DQN4 - _step","DQN4 - _step__MIN","DQN4 - _step__MAX","DQN4 - rewards_per_sequence","DQN4 - rewards_per_sequence__MIN","DQN4 - rewards_per_sequence__MAX"
"12.3531515","4","4","4","0","0","0"
"21.15080688","233","233","233","-4.970000000000001","-4.970000000000001","-4.970000000000001"
"29.776948042","456","456","456","-5.48","-5.48","-5.48"
"37.798606652","670","670","670","-5.48","-5.48","-5.48"
"46.172240119","899","899","899","-3.4699999999999998","-3.4699999999999998","-3.4699999999999998"
"54.377925106","1125","1125","1125","-3.4699999999999998","-3.4699999999999998","-3.4699999999999998"
"62.20362229","1347","1347","1347","-4.46","-4.46","-4.46"
"70.138147656","1561","1561","1561","-4.46","-4.46","-4.46"
"78.177942873","1775","1775","1775","-4.46","-4.46","-4.46"
"86.071371649","1989","1989","1989","-4.46","-4.46","-4.46"
"94.329030992","2205","2205","2205","-5.449999999999999","-5.449999999999999","-5.449999999999999"
"102.492939621","2425","2425","2425","-3.4699999999999998","-3.4699999999999998","-3.4699999999999998"
"110.844107026","2639","2639","2639","-3.4699999999999998","-3.4699999999999998","-3.4699999999999998"
"119.172532804","2871","2871","2871","-3.4699999999999998","-3.4699999999999998","-3.4699999999999998"
"127.640816761","3091","3091","3091","-3.4699999999999998","-3.4699999999999998","-3.4699999999999998"
"135.853402316","3323","3323","3323","-3.4699999999999998","-3.4699999999999998","-3.4699999999999998"
"144.421415897","3543","3543","3543","-3.4699999999999998","-3.4699999999999998","-3.4699999999999998"
"152.841735445","3757","3757","3757","-3.4699999999999998","-3.4699999999999998","-3.4699999999999998"
"161.355431656","3971","3971","3971","-3.4699999999999998","-3.4699999999999998","-3.4699999999999998"
"169.832283717","4185","4185","4185","-3.4699999999999998","-3.4699999999999998","-3.4699999999999998"
"179.578746448","4411","4411","4411","-3.4699999999999998","-3.4699999999999998","-3.4699999999999998"
"188.274916693","4631","4631","4631","-3.4699999999999998","-3.4699999999999998","-3.4699999999999998"
