"Relative Time (Process)","DQN9 - _step","DQN9 - _step__MIN","DQN9 - _step__MAX","DQN9 - rewards_per_sequence","DQN9 - rewards_per_sequence__MIN","DQN9 - rewards_per_sequence__MAX"
"15.135365121","4","4","4","0","0","0"
"23.21552834","227","227","227","-5.22","-5.22","-5.22"
"31.288464423","450","450","450","-4.09","-4.09","-4.09"
"38.906854908","673","673","673","-4.88","-4.88","-4.88"
"46.875628572","893","893","893","-4.88","-4.88","-4.88"
"54.543573354","1109","1109","1109","-3.87","-3.87","-3.87"
"62.473524618","1329","1329","1329","-3.87","-3.87","-3.87"
"70.421055162","1543","1543","1543","-3.87","-3.87","-3.87"
"78.220360741","1751","1751","1751","-3.87","-3.87","-3.87"
"86.493865398","1965","1965","1965","-3.87","-3.87","-3.87"
"94.880196849","2179","2179","2179","-4.09","-4.09","-4.09"
"103.183284244","2387","2387","2387","-4.09","-4.09","-4.09"
"111.258627191","2595","2595","2595","-4.09","-4.09","-4.09"
"119.240341339","2809","2809","2809","-4.09","-4.09","-4.09"
"127.148317003","3017","3017","3017","-4.09","-4.09","-4.09"
"135.695164263","3231","3231","3231","-4.09","-4.09","-4.09"
"143.889236986","3439","3439","3439","-4.09","-4.09","-4.09"
"152.402937413","3659","3659","3659","-4.09","-4.09","-4.09"
"161.359811412","3879","3879","3879","-4.09","-4.09","-4.09"
"173.456030768","4093","4093","4093","-4.09","-4.09","-4.09"
"335.881518756","4307","4307","4307","-4.09","-4.09","-4.09"
"761.326354431","4521","4521","4521","-4.09","-4.09","-4.09"
"769.346831912","4735","4735","4735","-4.09","-4.09","-4.09"
"777.298474725","4957","4957","4957","-3.9000000000000004","-3.9000000000000004","-3.9000000000000004"
"784.887447081","5165","5165","5165","-4.09","-4.09","-4.09"
"792.373352537","5379","5379","5379","-4.09","-4.09","-4.09"
"800.11923728","5593","5593","5593","-4.09","-4.09","-4.09"
"807.817424845","5819","5819","5819","-4.09","-4.09","-4.09"
"815.273174489","6027","6027","6027","-4.09","-4.09","-4.09"
"822.678788431","6235","6235","6235","-4.09","-4.09","-4.09"
"830.362005531","6449","6449","6449","-4.09","-4.09","-4.09"
"838.02566001","6657","6657","6657","-4.09","-4.09","-4.09"
"845.808890958","6877","6877","6877","-4.09","-4.09","-4.09"
"853.204033104","7085","7085","7085","-4.09","-4.09","-4.09"
