"Relative Time (Process)","2025-05-04_14-43-43_PID11664 - _step","2025-05-04_14-43-43_PID11664 - _step__MIN","2025-05-04_14-43-43_PID11664 - _step__MAX","2025-05-04_14-43-43_PID11664 - amount_of_options_explored","2025-05-04_14-43-43_PID11664 - amount_of_options_explored__MIN","2025-05-04_14-43-43_PID11664 - amount_of_options_explored__MAX"
"8.030728111","4","4","4","1","1","1"
"12.161642024","61","61","61","2","2","2"
"15.80989866","118","118","118","3","3","3"
"19.288905091","175","175","175","3","3","3"
"22.797476522","238","238","238","4","4","4"
"28.267337027","363","363","363","5","5","5"
"33.763167041","488","488","488","5","5","5"
"39.681785845","614","614","614","6","6","6"
"47.453530215","802","802","802","6","6","6"
