"Relative Time (Process)","2025-05-04_14-19-46_PID28805 - _step","2025-05-04_14-19-46_PID28805 - _step__MIN","2025-05-04_14-19-46_PID28805 - _step__MAX","2025-05-04_14-19-46_PID28805 - amount_of_options_explored","2025-05-04_14-19-46_PID28805 - amount_of_options_explored__MIN","2025-05-04_14-19-46_PID28805 - amount_of_options_explored__MAX"
"6.526336193","4","4","4","1","1","1"
"10.188923187","66","66","66","2","2","2"
"13.555588179","123","123","123","3","3","3"
"16.760923951","175","175","175","3","3","3"
"20.120116047","238","238","238","4","4","4"
"25.639033172","368","368","368","5","5","5"
"31.104408327","493","493","493","5","5","5"
"36.33595199","609","609","609","6","6","6"
"43.693164673","797","797","797","6","6","6"
"49.171191379","923","923","923","7","7","7"
"56.697531623","1111","1111","1111","7","7","7"
