"Relative Time (Process)","DQN1 - _step","DQN1 - _step__MIN","DQN1 - _step__MAX","DQN1 - amount_of_options_explored","DQN1 - amount_of_options_explored__MIN","DQN1 - amount_of_options_explored__MAX"
"7.006098831","6","6","6","1","1","1"
"8.964625648","76","76","76","2","2","2"
"10.860773681","152","152","152","3","3","3"
"14.589211240000001","229","229","229","4","4","4"
"16.4140071","293","293","293","5","5","5"
"18.450309959","369","369","369","6","6","6"
"21.958111277","446","446","446","7","7","7"
"23.807984214","510","510","510","8","8","8"
"26.062713501","586","586","586","9","9","9"
"39.00153576","946","946","946","10","10","10"
"40.930749864","1022","1022","1022","11","11","11"
"131.695682364","3606","3606","3606","12","12","12"
"133.82158495","3682","3682","3682","13","13","13"
"866.777575334","22384","22384","22384","14","14","14"
"869.229368494","22454","22454","22454","15","15","15"
