"Relative Time (Process)","DQN_4seq_3 - _step","DQN_4seq_3 - _step__MIN","DQN_4seq_3 - _step__MAX","DQN_4seq_3 - amount_of_options_explored","DQN_4seq_3 - amount_of_options_explored__MIN","DQN_4seq_3 - amount_of_options_explored__MAX"
"29.104102853","6","6","6","1","1","1"
"31.422581229","60","60","60","2","2","2"
"33.739248104","124","124","124","3","3","3"
"35.830491433","183","183","183","4","4","4"
"39.530285564","259","259","259","5","5","5"
"41.452892335","313","313","313","6","6","6"
"43.51175578","377","377","377","7","7","7"
"45.781150788","441","441","441","8","8","8"
"49.400308975","512","512","512","9","9","9"
"51.645994275","561","561","561","10","10","10"
"53.644425351","620","620","620","11","11","11"
"55.661419601","679","679","679","12","12","12"
"69.539945297","989","989","989","13","13","13"
"71.755991964","1048","1048","1048","14","14","14"
"74.181394539","1107","1107","1107","15","15","15"
"76.181746643","1166","1166","1166","16","16","16"
"103.573243725","1841","1841","1841","17","17","17"
"105.583301678","1905","1905","1905","18","18","18"
"120.950836158","2283","2283","2283","19","19","19"
"123.123456963","2347","2347","2347","20","20","20"
"125.248085896","2411","2411","2411","21","21","21"
"140.833493068","2789","2789","2789","22","22","22"
"142.819244165","2848","2848","2848","23","23","23"
"144.960370482","2907","2907","2907","24","24","24"
"172.512827616","3572","3572","3572","25","25","25"
"174.610164598","3631","3631","3631","26","26","26"
"556.538416546","12709","12709","12709","27","27","27"
"558.815211307","12778","12778","12778","28","28","28"
"561.145592236","12842","12842","12842","29","29","29"
"567.24127251","12961","12961","12961","30","30","30"
"569.48385639","13020","13020","13020","31","31","31"
"571.771290139","13084","13084","13084","32","32","32"
"578.039010467","13208","13208","13208","33","33","33"
"580.274755206","13267","13267","13267","34","34","34"
"582.6301486","13331","13331","13331","35","35","35"
"599.844894315","13699","13699","13699","36","36","36"
"602.169702581","13758","13758","13758","37","37","37"
"604.585971147","13822","13822","13822","38","38","38"
"613.057916311","14009","14009","14009","39","39","39"
"615.370803462","14073","14073","14073","40","40","40"
"827.623322379","18607","18607","18607","41","41","41"
"830.027789976","18666","18666","18666","42","42","42"
"836.623952585","18800","18800","18800","43","43","43"
"839.095277338","18864","18864","18864","44","44","44"
"841.654702528","18928","18928","18928","45","45","45"
"861.929413273","19344","19344","19344","46","46","46"
"864.453142327","19408","19408","19408","47","47","47"
"871.153951751","19537","19537","19537","48","48","48"
"873.663624205","19601","19601","19601","49","49","49"
"876.216012373","19665","19665","19665","50","50","50"
"966.635993984","21555","21555","21555","51","51","51"
"969.07003499","21614","21614","21614","52","52","52"
"1149.507038081","25162","25162","25162","53","53","53"
"1152.14422183","25226","25226","25226","54","54","54"
"2711.189465323","54009","54009","54009","55","55","55"
"2714.70292297","54073","54073","54073","56","56","56"
