"Relative Time (Process)","astar_4seq_4 - _step","astar_4seq_4 - _step__MIN","astar_4seq_4 - _step__MAX","astar_4seq_4 - amount_of_options_explored","astar_4seq_4 - amount_of_options_explored__MIN","astar_4seq_4 - amount_of_options_explored__MAX"
"16.072890033","4","4","4","1","1","1"
"20.431182951","66","66","66","2","2","2"
"23.908486177","123","123","123","3","3","3"
"27.288637","180","180","180","4","4","4"
"30.71790695","237","237","237","4","4","4"
"34.463858116","300","300","300","5","5","5"
"40.198986848","425","425","425","6","6","6"
"46.180191868","550","550","550","7","7","7"
"51.676528952","670","670","670","7","7","7"
"55.134750741","728","728","728","8","8","8"
"60.687440722","843","843","843","9","9","9"
"66.191672088","963","963","963","10","10","10"
"71.631949763","1073","1073","1073","10","10","10"
"75.168807098","1131","1131","1131","11","11","11"
"80.629768066","1246","1246","1246","12","12","12"
"86.149901529","1361","1361","1361","13","13","13"
"91.654931105","1476","1476","1476","13","13","13"
"97.476268318","1592","1592","1592","14","14","14"
"105.017418299","1765","1765","1765","15","15","15"
"112.627326078","1938","1938","1938","15","15","15"
"118.183392827","2059","2059","2059","16","16","16"
"126.265266035","2242","2242","2242","17","17","17"
"133.98669475","2420","2420","2420","17","17","17"
"140.027248367","2536","2536","2536","18","18","18"
"147.866255888","2714","2714","2714","19","19","19"
"156.290785954","2892","2892","2892","19","19","19"
"162.182745477","3018","3018","3018","20","20","20"
"170.23612174","3201","3201","3201","21","21","21"
"178.264781064","3389","3389","3389","21","21","21"
"184.419814082","3515","3515","3515","22","22","22"
"192.691149135","3703","3703","3703","23","23","23"
"201.321401916","3891","3891","3891","23","23","23"
"210.312381084","4080","4080","4080","24","24","24"
"220.814850441","4321","4321","4321","24","24","24"
"226.755968214","4447","4447","4447","25","25","25"
"235.190856058","4630","4630","4630","26","26","26"
"242.795470854","4813","4813","4813","26","26","26"
"251.007799335","4992","4992","4992","27","27","27"
"261.348513982","5228","5228","5228","27","27","27"
"265.123941722","5286","5286","5286","28","28","28"
"270.630942575","5406","5406","5406","29","29","29"
"276.200962409","5521","5521","5521","30","30","30"
"281.803460892","5641","5641","5641","30","30","30"
"289.873241859","5820","5820","5820","31","31","31"
"300.097400507","6061","6061","6061","31","31","31"
"308.118909771","6245","6245","6245","32","32","32"
"318.258920098","6501","6501","6501","32","32","32"
"326.214460878","6685","6685","6685","33","33","33"
"336.219788797","6921","6921","6921","33","33","33"
"344.165476104","7100","7100","7100","34","34","34"
"354.325493299","7341","7341","7341","34","34","34"
"360.131622771","7457","7457","7457","35","35","35"
"368.175812187","7635","7635","7635","36","36","36"
"375.755339409","7808","7808","7808","36","36","36"
"381.497882138","7924","7924","7924","37","37","37"
"389.512603972","8092","8092","8092","38","38","38"
"397.568365559","8260","8260","8260","38","38","38"
"403.808534466","8366","8366","8366","39","39","39"
"412.076306229","8549","8549","8549","40","40","40"
"420.737720069","8732","8732","8732","40","40","40"
"428.911043092","8916","8916","8916","41","41","41"
"439.270788886","9152","9152","9152","41","41","41"
"447.682174421","9341","9341","9341","42","42","42"
"458.469100584","9592","9592","9592","42","42","42"
"464.538070107","9713","9713","9713","43","43","43"
"473.623459503","9896","9896","9896","44","44","44"
"482.752915557","10079","10079","10079","44","44","44"
"493.863941175","10268","10268","10268","45","45","45"
"514.966484974","10524","10524","10524","45","45","45"
