"Relative Time (Process)","astar_4seq_9 - _step","astar_4seq_9 - _step__MIN","astar_4seq_9 - _step__MAX","astar_4seq_9 - amount_of_options_explored","astar_4seq_9 - amount_of_options_explored__MIN","astar_4seq_9 - amount_of_options_explored__MAX"
"12.480593305","4","4","4","1","1","1"
"16.842453988","61","61","61","2","2","2"
"20.339837043","118","118","118","3","3","3"
"23.946166671","175","175","175","4","4","4"
"27.311115497","232","232","232","4","4","4"
"30.576562564","290","290","290","5","5","5"
"35.876882525","400","400","400","6","6","6"
"41.190423538","510","510","510","7","7","7"
"46.383679331","625","625","625","7","7","7"
"49.897939073","678","678","678","8","8","8"
"55.933420217","793","793","793","9","9","9"
"61.260390862","913","913","913","10","10","10"
"66.832697129","1028","1028","1028","10","10","10"
"70.535252579","1086","1086","1086","11","11","11"
"75.968931677","1211","1211","1211","12","12","12"
"81.819380848","1331","1331","1331","13","13","13"
"87.478011771","1451","1451","1451","13","13","13"
"92.876762596","1572","1572","1572","14","14","14"
"100.756358773","1745","1745","1745","15","15","15"
"108.64191943","1923","1923","1923","15","15","15"
"113.956839398","2039","2039","2039","16","16","16"
"121.796342005","2217","2217","2217","17","17","17"
"128.964043049","2395","2395","2395","17","17","17"
"134.402443624","2511","2511","2511","18","18","18"
"141.945836201","2689","2689","2689","19","19","19"
"149.757070583","2877","2877","2877","19","19","19"
"155.467122662","2993","2993","2993","20","20","20"
"163.29290065","3171","3171","3171","21","21","21"
"170.876167438","3349","3349","3349","21","21","21"
"176.294394992","3460","3460","3460","22","22","22"
"183.853140206","3638","3638","3638","23","23","23"
"191.446024493","3806","3806","3806","23","23","23"
"196.955401225","3917","3917","3917","24","24","24"
"204.768462705","4090","4090","4090","25","25","25"
"212.617027672","4263","4263","4263","25","25","25"
"218.537877524","4379","4379","4379","26","26","26"
"226.569081856","4557","4557","4557","27","27","27"
"234.523934171","4730","4730","4730","27","27","27"
"242.270422081","4909","4909","4909","28","28","28"
"251.4583314","5140","5140","5140","28","28","28"
"257.201695047","5266","5266","5266","29","29","29"
"265.036732537","5449","5449","5449","30","30","30"
"273.068167152","5637","5637","5637","30","30","30"
"280.873360379","5816","5816","5816","31","31","31"
"290.858191112","6057","6057","6057","31","31","31"
"294.456689247","6120","6120","6120","32","32","32"
"300.407969086","6245","6245","6245","33","33","33"
"306.253541835","6370","6370","6370","34","34","34"
"312.222772172","6500","6500","6500","34","34","34"
"320.230946757","6684","6684","6684","35","35","35"
"330.426169301","6925","6925","6925","35","35","35"
"338.258826451","7109","7109","7109","36","36","36"
"349.107252415","7355","7355","7355","36","36","36"
"356.828948356","7529","7529","7529","37","37","37"
"366.974449404","7775","7775","7775","37","37","37"
"375.299235284","7954","7954","7954","38","38","38"
"386.009861999","8200","8200","8200","38","38","38"
"394.749821717","8384","8384","8384","39","39","39"
"404.976887707","8635","8635","8635","39","39","39"
