"Relative Time (Process)","2025-05-04_13-58-22_PID8342 - _step","2025-05-04_13-58-22_PID8342 - _step__MIN","2025-05-04_13-58-22_PID8342 - _step__MAX","2025-05-04_13-58-22_PID8342 - amount_of_options_explored","2025-05-04_13-58-22_PID8342 - amount_of_options_explored__MIN","2025-05-04_13-58-22_PID8342 - amount_of_options_explored__MAX"
"6.424558392","4","4","4","1","1","1"
"9.95877531","66","66","66","2","2","2"
"13.419649241","123","123","123","3","3","3"
"16.890535412","180","180","180","3","3","3"
"20.386848708","238","238","238","4","4","4"
"25.850078586","353","353","353","5","5","5"
"31.386657113","473","473","473","5","5","5"
"34.841823946","536","536","536","6","6","6"
"40.539548394","656","656","656","7","7","7"
"45.877350965","781","781","781","7","7","7"
"48.893979315","839","839","839","8","8","8"
"54.111014012","964","964","964","9","9","9"
"59.377053652","1089","1089","1089","9","9","9"
"64.83100643","1210","1210","1210","10","10","10"
"72.366054484","1393","1393","1393","10","10","10"
"77.828936225","1509","1509","1509","11","11","11"
"85.364385311","1692","1692","1692","11","11","11"
