"Relative Time (Process)","astar_4seq_10 - _step","astar_4seq_10 - _step__MIN","astar_4seq_10 - _step__MAX","astar_4seq_10 - amount_of_options_explored","astar_4seq_10 - amount_of_options_explored__MIN","astar_4seq_10 - amount_of_options_explored__MAX"
"17.171917538","4","4","4","1","1","1"
"21.045768781","66","66","66","2","2","2"
"24.403043035","123","123","123","3","3","3"
"27.845465633","180","180","180","4","4","4"
"31.353392907","237","237","237","4","4","4"
"34.820677052","295","295","295","5","5","5"
"40.140714546","410","410","410","6","6","6"
"45.515271466","525","525","525","7","7","7"
"50.855705751","640","640","640","7","7","7"
"54.23897879","693","693","693","8","8","8"
"59.810449579","803","803","803","9","9","9"
"65.28139411","923","923","923","10","10","10"
"70.915758993","1048","1048","1048","10","10","10"
"76.514080971","1159","1159","1159","11","11","11"
"83.605061487","1337","1337","1337","12","12","12"
"91.354412719","1520","1520","1520","12","12","12"
"94.865334214","1583","1583","1583","13","13","13"
"100.505081814","1708","1708","1708","14","14","14"
"106.281506531","1833","1833","1833","15","15","15"
"111.905536297","1958","1958","1958","15","15","15"
"117.470960036","2069","2069","2069","16","16","16"
"125.012945572","2247","2247","2247","17","17","17"
"133.151992649","2420","2420","2420","17","17","17"
"140.826756633","2599","2599","2599","18","18","18"
"150.985689765","2840","2840","2840","18","18","18"
"154.391483737","2898","2898","2898","19","19","19"
"160.038010714","3018","3018","3018","20","20","20"
"165.836668543","3133","3133","3133","21","21","21"
"171.445687388","3253","3253","3253","21","21","21"
"177.051086913","3374","3374","3374","22","22","22"
"184.778818848","3557","3557","3557","23","23","23"
"192.639609598","3740","3740","3740","23","23","23"
"198.311318049","3851","3851","3851","24","24","24"
"206.1408313","4029","4029","4029","25","25","25"
"213.834154742","4202","4202","4202","25","25","25"
"219.469239474","4323","4323","4323","26","26","26"
"227.425165892","4496","4496","4496","27","27","27"
"235.144780121","4669","4669","4669","27","27","27"
