"Relative Time (Process)","DQN_4seq_1 - _step","DQN_4seq_1 - _step__MIN","DQN_4seq_1 - _step__MAX","DQN_4seq_1 - amount_of_options_explored","DQN_4seq_1 - amount_of_options_explored__MIN","DQN_4seq_1 - amount_of_options_explored__MAX"
"13.94215885","6","6","6","1","1","1"
"15.925410057","60","60","60","2","2","2"
"17.775712772","114","114","114","3","3","3"
"19.728843183","173","173","173","4","4","4"
"23.266220236","239","239","239","5","5","5"
"25.070732844","298","298","298","6","6","6"
"27.012203716","362","362","362","7","7","7"
"29.036091402","421","421","421","8","8","8"
"41.845864393","741","741","741","9","9","9"
"43.810109729","790","790","790","10","10","10"
"45.846306934","849","849","849","11","11","11"
"47.847926632","913","913","913","12","12","12"
"65.399072133","1359","1359","1359","13","13","13"
"67.439848049","1423","1423","1423","14","14","14"
"72.930992536","1547","1547","1547","15","15","15"
"74.940016901","1611","1611","1611","16","16","16"
"77.183055987","1670","1670","1670","17","17","17"
"95.184899471","2106","2106","2106","18","18","18"
"97.353358654","2170","2170","2170","19","19","19"
"286.274503886","6844","6844","6844","20","20","20"
"288.387094715","6903","6903","6903","21","21","21"
"543.511028644","12749","12749","12749","22","22","22"
"546.006637332","12813","12813","12813","23","23","23"
"548.298235394","12877","12877","12877","24","24","24"
"552.364074295","12943","12943","12943","25","25","25"
"554.747430953","12997","12997","12997","26","26","26"
"557.010506018","13056","13056","13056","27","27","27"
"559.164836837","13115","13115","13115","28","28","28"
"579.335495939","13541","13541","13541","29","29","29"
"581.430177596","13595","13595","13595","30","30","30"
"598.64861363","13963","13963","13963","31","31","31"
"601.089775407","14032","14032","14032","32","32","32"
"603.444586074","14096","14096","14096","33","33","33"
"631.28837672","14723","14723","14723","34","34","34"
"633.704577246","14787","14787","14787","35","35","35"
"636.063989657","14851","14851","14851","36","36","36"
"839.12042223","19236","19236","19236","37","37","37"
"841.59940453","19300","19300","19300","38","38","38"
"847.747300738","19419","19419","19419","39","39","39"
"850.35246228","19483","19483","19483","40","40","40"
"853.057425501","19542","19542","19542","41","41","41"
"860.098964917","19666","19666","19666","42","42","42"
"862.7119972","19725","19725","19725","43","43","43"
"865.231218422","19789","19789","19789","44","44","44"
"920.858761711","20967","20967","20967","45","45","45"
"923.289911","21031","21031","21031","46","46","46"
"1125.431267347","25252","25252","25252","47","47","47"
"1127.853886564","25316","25316","25316","48","48","48"
"1159.81741648","25928","25928","25928","49","49","49"
"1162.755022688","25992","25992","25992","50","50","50"
"1165.505687483","26051","26051","26051","51","51","51"
"1185.092689879","26419","26419","26419","52","52","52"
"1187.74978823","26478","26478","26478","53","53","53"
"1190.596435009","26542","26542","26542","54","54","54"
"1212.950280624","26963","26963","26963","55","55","55"
"1215.599472163","27022","27022","27022","56","56","56"
"1262.848715591","27931","27931","27931","57","57","57"
"1265.667311076","27995","27995","27995","58","58","58"
