"Relative Time (Process)","DQN4 - _step","DQN4 - _step__MIN","DQN4 - _step__MAX","DQN4 - amount_of_options_explored","DQN4 - amount_of_options_explored__MIN","DQN4 - amount_of_options_explored__MAX"
"12.372494749","6","6","6","1","1","1"
"14.559634507","70","70","70","2","2","2"
"17.175740034","152","152","152","3","3","3"
"21.150821234","235","235","235","4","4","4"
"23.363477726","299","299","299","5","5","5"
"25.41488668","369","369","369","6","6","6"
"37.800042804","672","672","672","7","7","7"
"39.833358897","736","736","736","8","8","8"
"42.090694668","818","818","818","9","9","9"
"56.320700842","1190","1190","1190","10","10","10"
"58.519570553","1266","1266","1266","11","11","11"
"88.195372557","2054","2054","2054","12","12","12"
"90.482384836","2124","2124","2124","13","13","13"
"619.546371825","15310","15310","15310","14","14","14"
"622.111526353","15386","15386","15386","15","15","15"
