"Relative Time (Process)","astar_4seq_7 - _step","astar_4seq_7 - _step__MIN","astar_4seq_7 - _step__MAX","astar_4seq_7 - amount_of_options_explored","astar_4seq_7 - amount_of_options_explored__MIN","astar_4seq_7 - amount_of_options_explored__MAX"
"16.669311016","4","4","4","1","1","1"
"20.681459232","66","66","66","2","2","2"
"23.967980114","123","123","123","3","3","3"
"27.336146009","185","185","185","4","4","4"
"30.604957352","242","242","242","4","4","4"
"34.153776089","300","300","300","5","5","5"
"39.567180307","420","420","420","6","6","6"
"45.37234455","535","535","535","7","7","7"
"50.836634188","655","655","655","7","7","7"
"56.406435268","776","776","776","8","8","8"
"63.862606539","954","954","954","9","9","9"
"71.365172759","1142","1142","1142","9","9","9"
"76.554864069","1258","1258","1258","10","10","10"
"83.797792886","1436","1436","1436","11","11","11"
"91.97520039","1624","1624","1624","11","11","11"
"99.555857425","1808","1808","1808","12","12","12"
"109.238431464","2054","2054","2054","12","12","12"
"112.686927078","2112","2112","2112","13","13","13"
"118.078218077","2222","2222","2222","14","14","14"
"123.298128581","2342","2342","2342","15","15","15"
"128.698403903","2447","2447","2447","15","15","15"
"136.361862416","2626","2626","2626","16","16","16"
"146.193719274","2872","2872","2872","16","16","16"
"154.238757942","3056","3056","3056","17","17","17"
"163.98885356","3292","3292","3292","17","17","17"
"171.774384718","3471","3471","3471","18","18","18"
"181.40929436","3712","3712","3712","18","18","18"
