"Relative Time (Process)","2025-05-04_14-23-25_PID32571 - _step","2025-05-04_14-23-25_PID32571 - _step__MIN","2025-05-04_14-23-25_PID32571 - _step__MAX","2025-05-04_14-23-25_PID32571 - amount_of_options_explored","2025-05-04_14-23-25_PID32571 - amount_of_options_explored__MIN","2025-05-04_14-23-25_PID32571 - amount_of_options_explored__MAX"
"6.389510898","4","4","4","1","1","1"
"9.942187724","66","66","66","2","2","2"
"13.403954594","123","123","123","3","3","3"
"16.889256073","180","180","180","3","3","3"
"20.421420226","243","243","243","4","4","4"
"25.826609665","368","368","368","5","5","5"
"31.259982044","493","493","493","5","5","5"
"34.797620139","551","551","551","6","6","6"
"40.014767059","666","666","666","7","7","7"
"45.181280962","776","776","776","7","7","7"
"50.397950074","892","892","892","8","8","8"
"57.850783382","1075","1075","1075","8","8","8"
"63.386831404","1191","1191","1191","9","9","9"
"70.848309341","1374","1374","1374","9","9","9"
"74.324764372","1432","1432","1432","10","10","10"
"79.820393025","1557","1557","1557","11","11","11"
"85.3852055","1672","1672","1672","11","11","11"
"90.878758494","1788","1788","1788","12","12","12"
"98.324471168","1976","1976","1976","12","12","12"
"103.932820693","2097","2097","2097","13","13","13"
"111.396183783","2285","2285","2285","13","13","13"
"116.89228568","2406","2406","2406","14","14","14"
"124.387036586","2584","2584","2584","14","14","14"
