"Relative Time (Process)","astar_4seq_8 - _step","astar_4seq_8 - _step__MIN","astar_4seq_8 - _step__MAX","astar_4seq_8 - amount_of_options_explored","astar_4seq_8 - amount_of_options_explored__MIN","astar_4seq_8 - amount_of_options_explored__MAX"
"14.884566986","4","4","4","1","1","1"
"18.808512532","66","66","66","2","2","2"
"22.258644684","123","123","123","3","3","3"
"25.746877148","185","185","185","4","4","4"
"29.27531182","242","242","242","4","4","4"
"32.732355994","300","300","300","5","5","5"
"38.039573028","410","410","410","6","6","6"
"43.486282764","530","530","530","7","7","7"
"48.426949021","655","655","655","7","7","7"
"53.677492533","776","776","776","8","8","8"
"61.381489428","959","959","959","9","9","9"
"68.872388602","1137","1137","1137","9","9","9"
"72.281528729","1190","1190","1190","10","10","10"
"77.770635097","1300","1300","1300","11","11","11"
"83.427627808","1415","1415","1415","12","12","12"
"88.952702624","1535","1535","1535","12","12","12"
"96.610387636","1719","1719","1719","13","13","13"
"106.601853777","1955","1955","1955","13","13","13"
"112.542640756","2066","2066","2066","14","14","14"
"120.38387712","2244","2244","2244","15","15","15"
"128.028775036","2422","2422","2422","15","15","15"
"134.044095015","2538","2538","2538","16","16","16"
"141.912823896","2716","2716","2716","17","17","17"
"149.345154765","2894","2894","2894","17","17","17"
"152.768159211","2952","2952","2952","18","18","18"
"158.321488995","3077","3077","3077","19","19","19"
"163.877654325","3197","3197","3197","20","20","20"
"169.248444581","3317","3317","3317","20","20","20"
"177.099545363","3501","3501","3501","21","21","21"
"186.961052873","3737","3737","3737","21","21","21"
"192.677435352","3853","3853","3853","22","22","22"
"200.368080988","4026","4026","4026","23","23","23"
"208.218602345","4214","4214","4214","23","23","23"
"215.962760026","4388","4388","4388","24","24","24"
"226.161282406","4624","4624","4624","24","24","24"
"231.948813563","4740","4740","4740","25","25","25"
"239.883456953","4913","4913","4913","26","26","26"
"247.67029936","5096","5096","5096","26","26","26"
"255.414809797","5275","5275","5275","27","27","27"
"265.405852537","5516","5516","5516","27","27","27"
"270.986256555","5637","5637","5637","28","28","28"
"278.796238742","5815","5815","5815","29","29","29"
"286.645024639","5998","5998","5998","29","29","29"
"294.397686626","6177","6177","6177","30","30","30"
"304.407595407","6408","6408","6408","30","30","30"
"308.003216165","6471","6471","6471","31","31","31"
"313.946592363","6596","6596","6596","32","32","32"
"319.914780556","6721","6721","6721","33","33","33"
"325.806305343","6841","6841","6841","33","33","33"
"333.810517766","7025","7025","7025","34","34","34"
"343.869083096","7261","7261","7261","34","34","34"
