"Relative Time (Process)","astar_4seq_3 - _step","astar_4seq_3 - _step__MIN","astar_4seq_3 - _step__MAX","astar_4seq_3 - amount_of_options_explored","astar_4seq_3 - amount_of_options_explored__MIN","astar_4seq_3 - amount_of_options_explored__MAX"
"13.412372732","4","4","4","1","1","1"
"17.376435677","66","66","66","2","2","2"
"20.761261965","123","123","123","3","3","3"
"24.205389389","180","180","180","4","4","4"
"27.782767776","237","237","237","4","4","4"
"31.281285987","295","295","295","5","5","5"
"36.694365953","415","415","415","6","6","6"
"42.247777816","535","535","535","7","7","7"
"48.000391023","655","655","655","7","7","7"
"51.441297239","713","713","713","8","8","8"
"57.160246169","823","823","823","9","9","9"
"62.781269214","943","943","943","10","10","10"
"68.353147618","1063","1063","1063","10","10","10"
"71.918871322","1126","1126","1126","11","11","11"
"77.801900262","1251","1251","1251","12","12","12"
"82.93501808","1371","1371","1371","13","13","13"
"88.322344104","1491","1491","1491","13","13","13"
"91.731302438","1544","1544","1544","14","14","14"
"97.777010617","1654","1654","1654","15","15","15"
"103.18207009","1769","1769","1769","16","16","16"
"108.779100956","1884","1884","1884","16","16","16"
"114.314755856","1990","1990","1990","17","17","17"
"121.881280191","2168","2168","2168","18","18","18"
"129.259133254","2346","2346","2346","18","18","18"
"134.801412585","2467","2467","2467","19","19","19"
"142.363653175","2650","2650","2650","20","20","20"
"150.309942709","2823","2823","2823","20","20","20"
"156.007058357","2939","2939","2939","21","21","21"
"164.140607991","3117","3117","3117","22","22","22"
"172.371266577","3295","3295","3295","22","22","22"
"180.30827713","3469","3469","3469","23","23","23"
"190.250200485","3695","3695","3695","23","23","23"
"196.042701572","3821","3821","3821","24","24","24"
"203.7795999","4009","4009","4009","25","25","25"
"211.37398214","4197","4197","4197","25","25","25"
"219.28566268","4376","4376","4376","26","26","26"
"229.253455464","4612","4612","4612","26","26","26"
"235.086092149","4733","4733","4733","27","27","27"
"242.731291564","4901","4901","4901","28","28","28"
"250.538260576","5084","5084","5084","28","28","28"
