"Relative Time (Process)","2025-05-04_14-54-12_PID21807 - _step","2025-05-04_14-54-12_PID21807 - _step__MIN","2025-05-04_14-54-12_PID21807 - _step__MAX","2025-05-04_14-54-12_PID21807 - amount_of_options_explored","2025-05-04_14-54-12_PID21807 - amount_of_options_explored__MIN","2025-05-04_14-54-12_PID21807 - amount_of_options_explored__MAX"
"10.199313568","4","4","4","1","1","1"
"13.770150725","66","66","66","2","2","2"
"17.339834081","128","128","128","3","3","3"
"20.891106713","185","185","185","3","3","3"
"24.366525248","243","243","243","4","4","4"
"29.900714824","368","368","368","5","5","5"
"35.383482172","483","483","483","5","5","5"
"40.891099071","609","609","609","6","6","6"
"48.380040272","792","792","792","6","6","6"
"53.782197773","913","913","913","7","7","7"
"61.284085381","1086","1086","1086","7","7","7"
"64.780352514","1139","1139","1139","8","8","8"
"70.314846573","1254","1254","1254","9","9","9"
"75.838149563","1369","1369","1369","9","9","9"
"79.362339711","1432","1432","1432","10","10","10"
"84.873086549","1552","1552","1552","11","11","11"
"90.386258145","1677","1677","1677","11","11","11"
"95.804259703","1788","1788","1788","12","12","12"
"103.327058303","1971","1971","1971","12","12","12"
"108.890341115","2097","2097","2097","13","13","13"
"116.399300251","2285","2285","2285","13","13","13"
"121.857117504","2396","2396","2396","14","14","14"
"129.317933564","2569","2569","2569","14","14","14"
