"Relative Time (Process)","DQN5 - _step","DQN5 - _step__MIN","DQN5 - _step__MAX","DQN5 - amount_of_options_explored","DQN5 - amount_of_options_explored__MIN","DQN5 - amount_of_options_explored__MAX"
"9.290930773","6","6","6","1","1","1"
"11.969157615","70","70","70","2","2","2"
"13.932518728","152","152","152","3","3","3"
"17.538294218","235","235","235","4","4","4"
"19.428465836","299","299","299","5","5","5"
"21.51383821","375","375","375","6","6","6"
"550.647659589","14963","14963","14963","7","7","7"
"552.920908769","15045","15045","15045","8","8","8"
"556.82355485","15128","15128","15128","9","9","9"
"559.111490184","15192","15192","15192","10","10","10"
"561.307607648","15268","15268","15268","11","11","11"
