"Relative Time (Process)","2025-05-04_14-08-08_PID17937 - _step","2025-05-04_14-08-08_PID17937 - _step__MIN","2025-05-04_14-08-08_PID17937 - _step__MAX","2025-05-04_14-08-08_PID17937 - amount_of_options_explored","2025-05-04_14-08-08_PID17937 - amount_of_options_explored__MIN","2025-05-04_14-08-08_PID17937 - amount_of_options_explored__MAX"
"9.203461591","4","4","4","1","1","1"
"12.645784965","61","61","61","2","2","2"
"16.169441635","113","113","113","3","3","3"
"19.640772974","170","170","170","3","3","3"
"23.106941908","228","228","228","4","4","4"
"28.623909226","353","353","353","5","5","5"
"34.081786484","473","473","473","5","5","5"
"39.439067401","599","599","599","6","6","6"
"47.360853326","782","782","782","6","6","6"
