"Relative Time (Process)","DQN7 - _step","DQN7 - _step__MIN","DQN7 - _step__MAX","DQN7 - rewards_per_sequence","DQN7 - rewards_per_sequence__MIN","DQN7 - rewards_per_sequence__MAX"
"7.55419398","4","4","4","0","0","0"
"15.914731537","233","233","233","-4.54","-4.54","-4.54"
"23.623459722","444","444","444","-4.18","-4.18","-4.18"
"31.510701566","655","655","655","-4.95","-4.95","-4.95"
"38.814842414","869","869","869","-4.18","-4.18","-4.18"
"46.82115632","1091","1091","1091","-4.57","-4.57","-4.57"
"54.539144553","1317","1317","1317","-4.57","-4.57","-4.57"
"62.062345529","1537","1537","1537","-4.57","-4.57","-4.57"
"70.12851904","1769","1769","1769","-4.57","-4.57","-4.57"
"77.805607618","1995","1995","1995","-4.57","-4.57","-4.57"
"85.604150128","2227","2227","2227","-4.57","-4.57","-4.57"
"92.924061968","2453","2453","2453","-4.57","-4.57","-4.57"
"100.404216778","2669","2669","2669","-4.98","-4.98","-4.98"
"107.931684983","2889","2889","2889","-4.57","-4.57","-4.57"
"115.851930459","3109","3109","3109","-4.98","-4.98","-4.98"
"123.825446836","3329","3329","3329","-4.98","-4.98","-4.98"
"131.588833706","3549","3549","3549","-4.98","-4.98","-4.98"
"138.838726665","3769","3769","3769","-4.98","-4.98","-4.98"
"146.724591489","3983","3983","3983","-4.98","-4.98","-4.98"
"154.424307777","4197","4197","4197","-4.98","-4.98","-4.98"
"162.37558668","4411","4411","4411","-4.98","-4.98","-4.98"
"169.974852986","4637","4637","4637","-4.54","-4.54","-4.54"
"177.883715243","4857","4857","4857","-4.54","-4.54","-4.54"
"185.365975975","5077","5077","5077","-4.54","-4.54","-4.54"
"193.412775847","5291","5291","5291","-4.54","-4.54","-4.54"
"201.246256793","5517","5517","5517","-4.54","-4.54","-4.54"
"209.247634995","5737","5737","5737","-4.54","-4.54","-4.54"
"216.86671884","5957","5957","5957","-4.54","-4.54","-4.54"
"224.823475676","6171","6171","6171","-4.54","-4.54","-4.54"
"232.399311936","6391","6391","6391","-4.54","-4.54","-4.54"
"240.345725627","6605","6605","6605","-4.54","-4.54","-4.54"
"248.065191207","6825","6825","6825","-4.54","-4.54","-4.54"
"256.038883983","7039","7039","7039","-4.54","-4.54","-4.54"
"264.119840586","7259","7259","7259","-4.54","-4.54","-4.54"
"272.708814252","7485","7485","7485","-4.54","-4.54","-4.54"
"280.947454337","7705","7705","7705","-4.54","-4.54","-4.54"
"289.525216134","7925","7925","7925","-4.54","-4.54","-4.54"
"298.040992109","8145","8145","8145","-4.54","-4.54","-4.54"
"305.915220027","8365","8365","8365","-4.54","-4.54","-4.54"
"313.722496583","8579","8579","8579","-4.54","-4.54","-4.54"
"321.758977699","8805","8805","8805","-4.54","-4.54","-4.54"
"329.912800959","9019","9019","9019","-4.54","-4.54","-4.54"
"337.859489204","9239","9239","9239","-4.54","-4.54","-4.54"
"346.384430991","9465","9465","9465","-4.54","-4.54","-4.54"
"354.483094387","9685","9685","9685","-4.54","-4.54","-4.54"
"362.688827528","9899","9899","9899","-4.54","-4.54","-4.54"
"370.852402576","10113","10113","10113","-4.54","-4.54","-4.54"
"378.974381333","10339","10339","10339","-4.54","-4.54","-4.54"
"387.261374036","10559","10559","10559","-4.54","-4.54","-4.54"
"395.650210792","10773","10773","10773","-4.54","-4.54","-4.54"
"403.896360915","10999","10999","10999","-4.54","-4.54","-4.54"
"411.866032014","11213","11213","11213","-4.54","-4.54","-4.54"
"420.241433021","11439","11439","11439","-4.54","-4.54","-4.54"
"428.31330997","11659","11659","11659","-4.54","-4.54","-4.54"
"436.764348734","11879","11879","11879","-4.54","-4.54","-4.54"
"445.198005161","12099","12099","12099","-4.54","-4.54","-4.54"
"453.228870044","12325","12325","12325","-4.54","-4.54","-4.54"
"461.667195665","12545","12545","12545","-4.54","-4.54","-4.54"
"469.938740465","12759","12759","12759","-4.54","-4.54","-4.54"
"478.485151271","12985","12985","12985","-4.54","-4.54","-4.54"
"487.14828145","13205","13205","13205","-4.18","-4.18","-4.18"
"496.306700374","13425","13425","13425","-4.54","-4.54","-4.54"
"504.854043175","13639","13639","13639","-4.54","-4.54","-4.54"
"513.531773607","13853","13853","13853","-4.54","-4.54","-4.54"
"522.07089067","14073","14073","14073","-4.54","-4.54","-4.54"
"530.866329053","14293","14293","14293","-4.54","-4.54","-4.54"
"539.616958024","14513","14513","14513","-4.54","-4.54","-4.54"
"548.199606213","14733","14733","14733","-4.54","-4.54","-4.54"
"556.68847267","14953","14953","14953","-4.54","-4.54","-4.54"
"565.221122918","15173","15173","15173","-4.95","-4.95","-4.95"
"573.757364325","15393","15393","15393","-4.95","-4.95","-4.95"
"582.184326647","15613","15613","15613","-4.95","-4.95","-4.95"
"591.075211391","15821","15821","15821","-4.95","-4.95","-4.95"
"599.529468123","16041","16041","16041","-4.95","-4.95","-4.95"
"607.675613151","16261","16261","16261","-4.57","-4.57","-4.57"
"616.068707499","16475","16475","16475","-4.95","-4.95","-4.95"
"624.981466692","16701","16701","16701","-4.95","-4.95","-4.95"
"633.64668652","16915","16915","16915","-4.54","-4.54","-4.54"
"642.778910703","17135","17135","17135","-4.54","-4.54","-4.54"
"652.362469008","17361","17361","17361","-4.54","-4.54","-4.54"
"661.295711142","17577","17577","17577","-4.93","-4.93","-4.93"
"669.841071811","17797","17797","17797","-4.93","-4.93","-4.93"
"678.609276778","18017","18017","18017","-4.93","-4.93","-4.93"
"687.400510448","18237","18237","18237","-4.54","-4.54","-4.54"
"696.339112327","18463","18463","18463","-4.54","-4.54","-4.54"
"705.131801129","18695","18695","18695","-4.54","-4.54","-4.54"
"713.771993039","18927","18927","18927","-4.54","-4.54","-4.54"
"722.364022282","19147","19147","19147","-4.54","-4.54","-4.54"
"731.187022147","19367","19367","19367","-4.54","-4.54","-4.54"
"739.787997133","19587","19587","19587","-4.54","-4.54","-4.54"
"748.708386851","19813","19813","19813","-4.54","-4.54","-4.54"
"757.220115932","20027","20027","20027","-4.18","-4.18","-4.18"
"765.786733897","20247","20247","20247","-4.18","-4.18","-4.18"
"774.748990903","20467","20467","20467","-4.18","-4.18","-4.18"
"783.463338417","20687","20687","20687","-4.18","-4.18","-4.18"
"792.207889103","20901","20901","20901","-4.18","-4.18","-4.18"
"800.773399748","21115","21115","21115","-4.18","-4.18","-4.18"
"810.021259816","21329","21329","21329","-4.18","-4.18","-4.18"
"819.211696071","21543","21543","21543","-4.18","-4.18","-4.18"
"829.039207771","21757","21757","21757","-4.18","-4.18","-4.18"
"837.430248832","21965","21965","21965","-4.18","-4.18","-4.18"
"846.28252844","22179","22179","22179","-4.18","-4.18","-4.18"
"855.108843346","22393","22393","22393","-4.18","-4.18","-4.18"
"864.683828893","22613","22613","22613","-4.18","-4.18","-4.18"
"873.832258026","22827","22827","22827","-4.18","-4.18","-4.18"
"883.113871601","23047","23047","23047","-4.18","-4.18","-4.18"
"892.274995317","23261","23261","23261","-4.18","-4.18","-4.18"
"901.100330069","23469","23469","23469","-4.18","-4.18","-4.18"
"910.534562784","23701","23701","23701","-4.18","-4.18","-4.18"
"919.470974452","23921","23921","23921","-4.18","-4.18","-4.18"
"928.327624935","24129","24129","24129","-4.18","-4.18","-4.18"
"937.324208393","24337","24337","24337","-4.18","-4.18","-4.18"
"946.301674073","24551","24551","24551","-4.18","-4.18","-4.18"
"955.310197055","24777","24777","24777","-4.18","-4.18","-4.18"
"964.277960092","24997","24997","24997","-4.18","-4.18","-4.18"
"973.466114853","25211","25211","25211","-4.18","-4.18","-4.18"
"982.452124773","25425","25425","25425","-4.18","-4.18","-4.18"
"991.956229354","25639","25639","25639","-4.18","-4.18","-4.18"
"1000.766628967","25853","25853","25853","-4.18","-4.18","-4.18"
"1010.209275865","26067","26067","26067","-4.18","-4.18","-4.18"
"1019.649404492","26275","26275","26275","-4.18","-4.18","-4.18"
"1029.047772412","26483","26483","26483","-4.18","-4.18","-4.18"
"1038.078382698","26703","26703","26703","-4.57","-4.57","-4.57"
"1047.44103283","26923","26923","26923","-4.18","-4.18","-4.18"
"1056.788862937","27137","27137","27137","-4.18","-4.18","-4.18"
"1066.000405601","27357","27357","27357","-4.18","-4.18","-4.18"
"1075.233644596","27583","27583","27583","-4.18","-4.18","-4.18"
"1084.39724188","27797","27797","27797","-4.18","-4.18","-4.18"
"1093.483203854","28017","28017","28017","-4.18","-4.18","-4.18"
"1102.676763723","28243","28243","28243","-4.18","-4.18","-4.18"
"1111.907165892","28457","28457","28457","-4.18","-4.18","-4.18"
"1120.893202799","28671","28671","28671","-4.18","-4.18","-4.18"
"1130.01164875","28891","28891","28891","-4.18","-4.18","-4.18"
"1139.211704162","29117","29117","29117","-4.18","-4.18","-4.18"
"1148.342890185","29331","29331","29331","-4.18","-4.18","-4.18"
"1157.455508468","29545","29545","29545","-4.18","-4.18","-4.18"
"1167.028817322","29765","29765","29765","-4.18","-4.18","-4.18"
"1176.461784398","29979","29979","29979","-4.18","-4.18","-4.18"
"1185.906108635","30187","30187","30187","-4.18","-4.18","-4.18"
"1195.198672718","30395","30395","30395","-4.18","-4.18","-4.18"
"1204.433862207","30609","30609","30609","-4.18","-4.18","-4.18"
"1213.869969308","30817","30817","30817","-4.18","-4.18","-4.18"
"1223.265424154","31031","31031","31031","-4.18","-4.18","-4.18"
"1232.838546374","31257","31257","31257","-4.18","-4.18","-4.18"
"1242.354470739","31483","31483","31483","-4.18","-4.18","-4.18"
"1251.857646194","31703","31703","31703","-4.18","-4.18","-4.18"
"1261.299514481","31923","31923","31923","-4.18","-4.18","-4.18"
"1270.68790209","32137","32137","32137","-4.18","-4.18","-4.18"
"1280.12066021","32357","32357","32357","-4.18","-4.18","-4.18"
"1289.932092431","32577","32577","32577","-4.18","-4.18","-4.18"
"1299.936284407","32809","32809","32809","-4.18","-4.18","-4.18"
"1309.682868866","33029","33029","33029","-4.18","-4.18","-4.18"
"1319.200363697","33249","33249","33249","-4.18","-4.18","-4.18"
"1328.77880199","33463","33463","33463","-4.18","-4.18","-4.18"
"1338.358803554","33683","33683","33683","-4.18","-4.18","-4.18"
"1347.940311613","33897","33897","33897","-4.18","-4.18","-4.18"
"1357.424857254","34111","34111","34111","-4.18","-4.18","-4.18"
"1367.118532817","34331","34331","34331","-4.18","-4.18","-4.18"
"1376.873186018","34563","34563","34563","-4.54","-4.54","-4.54"
"1386.405766102","34777","34777","34777","-4.18","-4.18","-4.18"
"1396.08572395","35003","35003","35003","-4.54","-4.54","-4.54"
"1405.536273874","35229","35229","35229","-4.18","-4.18","-4.18"
"1415.450171083","35443","35443","35443","-4.18","-4.18","-4.18"
"1425.143416209","35669","35669","35669","-4.18","-4.18","-4.18"
"1434.953403519","35883","35883","35883","-4.18","-4.18","-4.18"
"1444.801785575","36103","36103","36103","-4.18","-4.18","-4.18"
"1454.519545716","36311","36311","36311","-4.18","-4.18","-4.18"
"1464.357158921","36525","36525","36525","-4.18","-4.18","-4.18"
"1474.557260919","36751","36751","36751","-4.18","-4.18","-4.18"
"1484.073913956","36965","36965","36965","-4.18","-4.18","-4.18"
"1493.843325666","37185","37185","37185","-4.18","-4.18","-4.18"
"1503.776875743","37405","37405","37405","-4.18","-4.18","-4.18"
"1513.397272051","37625","37625","37625","-4.18","-4.18","-4.18"
"1523.076158457","37839","37839","37839","-4.18","-4.18","-4.18"
"1533.089314676","38047","38047","38047","-4.18","-4.18","-4.18"
"1543.160228354","38273","38273","38273","-4.18","-4.18","-4.18"
"1553.076200085","38493","38493","38493","-4.18","-4.18","-4.18"
"1562.951367466","38707","38707","38707","-4.18","-4.18","-4.18"
"1573.355859149","38921","38921","38921","-4.18","-4.18","-4.18"
"1583.429586056","39141","39141","39141","-4.18","-4.18","-4.18"
"1593.803320031","39361","39361","39361","-4.18","-4.18","-4.18"
"1604.337880022","39581","39581","39581","-4.18","-4.18","-4.18"
"1614.289270479","39795","39795","39795","-4.18","-4.18","-4.18"
"1624.199563553","40009","40009","40009","-4.18","-4.18","-4.18"
"1634.233436464","40217","40217","40217","-4.18","-4.18","-4.18"
"1644.252384066","40425","40425","40425","-4.18","-4.18","-4.18"
"1654.544013282","40639","40639","40639","-4.18","-4.18","-4.18"
"1664.908871245","40853","40853","40853","-4.18","-4.18","-4.18"
"1674.477642522","41073","41073","41073","-4.18","-4.18","-4.18"
"1684.488556427","41281","41281","41281","-4.18","-4.18","-4.18"
"1694.472329065","41495","41495","41495","-4.18","-4.18","-4.18"
"1704.521530013","41709","41709","41709","-4.18","-4.18","-4.18"
"1714.598278139","41917","41917","41917","-4.18","-4.18","-4.18"
"1725.169100317","42131","42131","42131","-4.18","-4.18","-4.18"
"1735.305691247","42345","42345","42345","-4.18","-4.18","-4.18"
"1745.733264853","42559","42559","42559","-4.18","-4.18","-4.18"
"1756.002560487","42773","42773","42773","-4.18","-4.18","-4.18"
"1766.720560338","42993","42993","42993","-4.18","-4.18","-4.18"
"1777.36204102","43213","43213","43213","-4.18","-4.18","-4.18"
"1788.145553072","43415","43415","43415","-4.18","-4.18","-4.18"
"1799.090369997","43629","43629","43629","-4.18","-4.18","-4.18"
"1810.438333389","43861","43861","43861","-4.18","-4.18","-4.18"
"1821.518670579","44069","44069","44069","-4.18","-4.18","-4.18"
"1832.429021039","44277","44277","44277","-4.18","-4.18","-4.18"
"1843.393935575","44485","44485","44485","-4.18","-4.18","-4.18"
"1853.719923356","44699","44699","44699","-4.18","-4.18","-4.18"
"1863.822835515","44907","44907","44907","-4.18","-4.18","-4.18"
"1874.442110504","45127","45127","45127","-4.18","-4.18","-4.18"
"1885.028566363","45341","45341","45341","-4.18","-4.18","-4.18"
"1895.693178762","45555","45555","45555","-4.18","-4.18","-4.18"
"1906.688374911","45769","45769","45769","-4.18","-4.18","-4.18"
"1917.418076224","45983","45983","45983","-4.18","-4.18","-4.18"
"1927.99575485","46203","46203","46203","-4.18","-4.18","-4.18"
"1938.663694908","46429","46429","46429","-4.18","-4.18","-4.18"
"1949.49465671","46637","46637","46637","-4.18","-4.18","-4.18"
"1960.136627514","46857","46857","46857","-4.18","-4.18","-4.18"
"1970.468838964","47071","47071","47071","-4.18","-4.18","-4.18"
"1980.950672371","47303","47303","47303","-4.18","-4.18","-4.18"
"1991.23880724","47535","47535","47535","-4.18","-4.18","-4.18"
"2002.116985999","47743","47743","47743","-4.18","-4.18","-4.18"
"2012.94601087","47963","47963","47963","-4.18","-4.18","-4.18"
"2023.648540408","48177","48177","48177","-4.18","-4.18","-4.18"
"2034.244938144","48385","48385","48385","-4.18","-4.18","-4.18"
"2044.848876183","48599","48599","48599","-4.18","-4.18","-4.18"
"2055.801476547","48807","48807","48807","-4.18","-4.18","-4.18"
"2066.562743928","49021","49021","49021","-4.18","-4.18","-4.18"
"2077.3196657","49235","49235","49235","-4.18","-4.18","-4.18"
"2087.749362906","49455","49455","49455","-4.18","-4.18","-4.18"
"2098.208438443","49669","49669","49669","-4.18","-4.18","-4.18"
"2109.161312394","49883","49883","49883","-4.18","-4.18","-4.18"
"2119.940140446","50103","50103","50103","-4.18","-4.18","-4.18"
"2130.606609523","50317","50317","50317","-4.18","-4.18","-4.18"
"2141.13190362","50537","50537","50537","-4.18","-4.18","-4.18"
"2151.892921086","50757","50757","50757","-4.18","-4.18","-4.18"
"2162.39893444","50971","50971","50971","-4.18","-4.18","-4.18"
"2172.698816529","51185","51185","51185","-4.18","-4.18","-4.18"
"2183.425383764","51411","51411","51411","-4.18","-4.18","-4.18"
"2194.989616631","51631","51631","51631","-4.18","-4.18","-4.18"
"2206.116260147","51857","51857","51857","-4.18","-4.18","-4.18"
"2216.708988128","52077","52077","52077","-4.18","-4.18","-4.18"
"2227.800418336","52291","52291","52291","-4.18","-4.18","-4.18"
"2238.649371349","52523","52523","52523","-4.18","-4.18","-4.18"
"2249.702201763","52737","52737","52737","-4.18","-4.18","-4.18"
"2260.563106949","52957","52957","52957","-4.18","-4.18","-4.18"
"2271.558432295","53177","53177","53177","-4.18","-4.18","-4.18"
"2282.350841936","53385","53385","53385","-4.93","-4.93","-4.93"
"2293.108025471","53605","53605","53605","-4.18","-4.18","-4.18"
"2304.349067387","53831","53831","53831","-4.54","-4.54","-4.54"
"2315.590437153","54045","54045","54045","-4.18","-4.18","-4.18"
"2326.537647","54253","54253","54253","-4.18","-4.18","-4.18"
"2337.52899155","54461","54461","54461","-4.18","-4.18","-4.18"
"2348.659072475","54669","54669","54669","-4.18","-4.18","-4.18"
"2359.714459622","54883","54883","54883","-4.18","-4.18","-4.18"
"2370.928767566","55103","55103","55103","-4.18","-4.18","-4.18"
"2382.041339516","55317","55317","55317","-4.18","-4.18","-4.18"
"2393.572895091","55543","55543","55543","-4.18","-4.18","-4.18"
"2404.058836078","55757","55757","55757","-4.18","-4.18","-4.18"
"2415.136361798","55983","55983","55983","-4.18","-4.18","-4.18"
"2426.074809516","56203","56203","56203","-4.18","-4.18","-4.18"
"2437.660829452","56429","56429","56429","-4.18","-4.18","-4.18"
"2448.598510679","56643","56643","56643","-4.18","-4.18","-4.18"
"2459.787419519","56857","56857","56857","-4.54","-4.54","-4.54"
"2470.996382426","57071","57071","57071","-4.18","-4.18","-4.18"
"2482.192496647","57279","57279","57279","-4.18","-4.18","-4.18"
"2493.22896347","57493","57493","57493","-4.18","-4.18","-4.18"
"2504.583898981","57719","57719","57719","-4.18","-4.18","-4.18"
"2515.670211157","57927","57927","57927","-4.18","-4.18","-4.18"
"2527.106437093","58147","58147","58147","-4.18","-4.18","-4.18"
