"Relative Time (Process)","DQN3 - _step","DQN3 - _step__MIN","DQN3 - _step__MAX","DQN3 - amount_of_options_explored","DQN3 - amount_of_options_explored__MIN","DQN3 - amount_of_options_explored__MAX"
"13.210499766","6","6","6","1","1","1"
"15.463864453","70","70","70","2","2","2"
"17.804363075","146","146","146","3","3","3"
"21.78631016","223","223","223","4","4","4"
"23.874121892","293","293","293","5","5","5"
"25.855971598","363","363","363","6","6","6"
"29.502985686","440","440","440","7","7","7"
"31.371027784","504","504","504","8","8","8"
"33.133236889","574","574","574","9","9","9"
"54.681859493","1166","1166","1166","10","10","10"
"56.679596288","1242","1242","1242","11","11","11"
"362.252435986","9714","9714","9714","12","12","12"
"364.623846443","9796","9796","9796","13","13","13"
"5197.302309527","22822","22822","22822","14","14","14"
"5199.874687268","22892","22892","22892","15","15","15"
