"Relative Time (Process)","2025-05-04_14-01-34_PID11729 - _step","2025-05-04_14-01-34_PID11729 - _step__MIN","2025-05-04_14-01-34_PID11729 - _step__MAX","2025-05-04_14-01-34_PID11729 - amount_of_options_explored","2025-05-04_14-01-34_PID11729 - amount_of_options_explored__MIN","2025-05-04_14-01-34_PID11729 - amount_of_options_explored__MAX"
"8.495422922","4","4","4","1","1","1"
"12.22234082","66","66","66","2","2","2"
"15.877888951","118","118","118","3","3","3"
"19.226007307","175","175","175","3","3","3"
"22.640499536","238","238","238","4","4","4"
"28.156361462","358","358","358","5","5","5"
"33.637260616","483","483","483","5","5","5"
"37.124188013","541","541","541","6","6","6"
"42.635220111","666","666","666","7","7","7"
"47.89852665","786","786","786","7","7","7"
"53.188520365","912","912","912","8","8","8"
"60.705455009","1100","1100","1100","8","8","8"
"64.23345681","1158","1158","1158","9","9","9"
"69.793008926","1273","1273","1273","10","10","10"
"75.14477928","1383","1383","1383","10","10","10"
"80.642087243","1504","1504","1504","11","11","11"
"87.90400389","1687","1687","1687","11","11","11"
