"Relative Time (Process)","DQN_4seq_2 - _step","DQN_4seq_2 - _step__MIN","DQN_4seq_2 - _step__MAX","DQN_4seq_2 - amount_of_options_explored","DQN_4seq_2 - amount_of_options_explored__MIN","DQN_4seq_2 - amount_of_options_explored__MAX"
"13.890038627","6","6","6","1","1","1"
"15.956397365","65","65","65","2","2","2"
"17.984433666","129","129","129","3","3","3"
"20.084662315","193","193","193","4","4","4"
"23.540717785","264","264","264","5","5","5"
"25.750840536","313","313","313","6","6","6"
"27.646874915","377","377","377","7","7","7"
"29.600303296","431","431","431","8","8","8"
"44.435868643","789","789","789","9","9","9"
"46.443727022","848","848","848","10","10","10"
"48.531735501","912","912","912","11","11","11"
"53.65274627","1026","1026","1026","12","12","12"
"55.532760741","1090","1090","1090","13","13","13"
"57.672957086","1149","1149","1149","14","14","14"
"74.20793765","1565","1565","1565","15","15","15"
"76.401482397","1624","1624","1624","16","16","16"
"526.877454005","12476","12476","12476","17","17","17"
"528.95468635","12530","12530","12530","18","18","18"
"531.284614781","12594","12594","12594","19","19","19"
"533.490536746","12653","12653","12653","20","20","20"
"552.525381856","13079","13079","13079","21","21","21"
"554.84484015","13138","13138","13138","22","22","22"
"571.725031021","13501","13501","13501","23","23","23"
"573.983912308","13565","13565","13565","24","24","24"
"576.257600031","13629","13629","13629","25","25","25"
"582.552078343","13743","13743","13743","26","26","26"
"584.873863105","13807","13807","13807","27","27","27"
"587.258852248","13866","13866","13866","28","28","28"
"595.896303186","14053","14053","14053","29","29","29"
"598.249587445","14112","14112","14112","30","30","30"
"634.945375999","14915","14915","14915","31","31","31"
"637.269201292","14969","14969","14969","32","32","32"
"639.477296497","15028","15028","15028","33","33","33"
"641.914749696","15087","15087","15087","34","34","34"
"671.860370666","15694","15694","15694","35","35","35"
"674.219422587","15758","15758","15758","36","36","36"
"676.554378415","15822","15822","15822","37","37","37"
"716.584060846","16693","16693","16693","38","38","38"
"718.947884812","16752","16752","16752","39","39","39"
"721.265479935","16811","16811","16811","40","40","40"
"730.802889023","16988","16988","16988","41","41","41"
"733.259369902","17052","17052","17052","42","42","42"
"813.171181776","18708","18708","18708","43","43","43"
"815.628767509","18772","18772","18772","44","44","44"
"1064.299541984","23854","23854","23854","45","45","45"
"1067.152515506","23918","23918","23918","46","46","46"
"1235.356071245","27234","27234","27234","47","47","47"
"1238.133288503","27293","27293","27293","48","48","48"
"1240.940237464","27352","27352","27352","49","49","49"
