"Relative Time (Process)","DQN_4seq_4 - _step","DQN_4seq_4 - _step__MIN","DQN_4seq_4 - _step__MAX","DQN_4seq_4 - env_steps_inside_sim","DQN_4seq_4 - env_steps_inside_sim__MIN","DQN_4seq_4 - env_steps_inside_sim__MAX"
"33.996278751","7","7","7","1","1","1"
"34.168171295","12","12","12","2","2","2"
"34.278218655","22","22","22","4","4","4"
"34.374101127","32","32","32","6","6","6"
"34.421950517","37","37","37","7","7","7"
"34.468367239","42","42","42","8","8","8"
"34.515156052","47","47","47","9","9","9"
"36.422554463","61","61","61","11","11","11"
"36.460131536","66","66","66","12","12","12"
"36.499207997","71","71","71","13","13","13"
"36.53324962","76","76","76","14","14","14"
"36.654699238","91","91","91","17","17","17"
"36.732202681","101","101","101","19","19","19"
"36.769540887","106","106","106","20","20","20"
"36.811820984","111","111","111","21","21","21"
"36.850767095","116","116","116","22","22","22"
"38.755509746","125","125","125","23","23","23"
"38.794650831","130","130","130","24","24","24"
"38.829970639","135","135","135","25","25","25"
"38.864342011","140","140","140","26","26","26"
"38.901555053","145","145","145","27","27","27"
"38.951966254","150","150","150","28","28","28"
"38.992659484","155","155","155","29","29","29"
"39.077839968","165","165","165","31","31","31"
"39.118167487","170","170","170","32","32","32"
"39.165177516","175","175","175","33","33","33"
"40.791707372","184","184","184","34","34","34"
"40.90341742","194","194","194","36","36","36"
"40.985889467","209","209","209","39","39","39"
"41.030714202","214","214","214","40","40","40"
"41.074898519","219","219","219","41","41","41"
"41.117900592","224","224","224","42","42","42"
"41.159690774","229","229","229","43","43","43"
"41.206862623","234","234","234","44","44","44"
"41.258979739","239","239","239","45","45","45"
"44.559288192","255","255","255","46","46","46"
"44.595198147","260","260","260","47","47","47"
"44.6333507","265","265","265","48","48","48"
"44.668837804","270","270","270","49","49","49"
"44.706807453","275","275","275","50","50","50"
"44.743537175","280","280","280","51","51","51"
"44.823336032","290","290","290","53","53","53"
"46.555297954","314","314","314","57","57","57"
"46.590528569","319","319","319","58","58","58"
"46.704532574","334","334","334","61","61","61"
"46.857453803","354","354","354","65","65","65"
"46.895085588","359","359","359","66","66","66"
"48.531938938","378","378","378","69","69","69"
"48.606725059","388","388","388","71","71","71"
"48.646129877","393","393","393","72","72","72"
"48.806580185","413","413","413","76","76","76"
"48.846158908","418","418","418","77","77","77"
"50.480697705","432","432","432","79","79","79"
"50.520677901","437","437","437","80","80","80"
"50.561050904","442","442","442","81","81","81"
"50.610907839","447","447","447","82","82","82"
"50.693551464","452","452","452","83","83","83"
"50.732324315","457","457","457","84","84","84"
"50.770174215","462","462","462","85","85","85"
"50.810421761","467","467","467","86","86","86"
"50.851748582","472","472","472","87","87","87"
"50.91333383","477","477","477","88","88","88"
"50.976133942","487","487","487","90","90","90"
"54.123528062","508","508","508","92","92","92"
"54.155127549","513","513","513","93","93","93"
"54.256146833","528","528","528","96","96","96"
"54.295201236","533","533","533","97","97","97"
"54.332295119","538","538","538","98","98","98"
"54.366069731","543","543","543","99","99","99"
"54.450026797","553","553","553","101","101","101"
"56.03403634","562","562","562","102","102","102"
"56.068872535","567","567","567","103","103","103"
"56.104279052","572","572","572","104","104","104"
"56.141012701","577","577","577","105","105","105"
"56.177658369","582","582","582","106","106","106"
"56.256410124","592","592","592","108","108","108"
"56.294384512","597","597","597","109","109","109"
"56.33436594","602","602","602","110","110","110"
"56.374557657","607","607","607","111","111","111"
"56.411867433","612","612","612","112","112","112"
"56.448874283","617","617","617","113","113","113"
"58.083488791","631","631","631","115","115","115"
"58.147268344","641","641","641","117","117","117"
"58.179653046","646","646","646","118","118","118"
"58.211543812","651","651","651","119","119","119"
