"Relative Time (Process)","DQN_4seq_4 - _step","DQN_4seq_4 - _step__MIN","DQN_4seq_4 - _step__MAX","DQN_4seq_4 - amount_of_options_explored","DQN_4seq_4 - amount_of_options_explored__MIN","DQN_4seq_4 - amount_of_options_explored__MAX"
"33.9208769","6","6","6","1","1","1"
"36.378928895","60","60","60","2","2","2"
"38.71228712","124","124","124","3","3","3"
"40.745970917","183","183","183","4","4","4"
"44.51333876","254","254","254","5","5","5"
"46.470780624","308","308","308","6","6","6"
"48.448907314","372","372","372","7","7","7"
"50.435764733","431","431","431","8","8","8"
"54.043267797","502","502","502","9","9","9"
"55.985643046","561","561","561","10","10","10"
"58.037465033","630","630","630","11","11","11"
"59.923261312","694","694","694","12","12","12"
"65.394887824","823","823","823","13","13","13"
"67.403786708","887","887","887","14","14","14"
"69.342569219","946","946","946","15","15","15"
"74.943104135","1075","1075","1075","16","16","16"
"76.885898203","1139","1139","1139","17","17","17"
"78.824237585","1203","1203","1203","18","18","18"
"165.287805643","3372","3372","3372","19","19","19"
"167.51342721","3431","3431","3431","20","20","20"
"564.787874696","12836","12836","12836","21","21","21"
"567.20318567","12900","12900","12900","22","22","22"
"571.294896831","12966","12966","12966","23","23","23"
"573.555995789","13020","13020","13020","24","24","24"
"575.832765353","13084","13084","13084","25","25","25"
"578.155164813","13148","13148","13148","26","26","26"
"584.128328054","13267","13267","13267","27","27","27"
"586.578745214","13331","13331","13331","28","28","28"
"589.01395432","13395","13395","13395","29","29","29"
"617.07067065","14022","14022","14022","30","30","30"
"619.506131103","14086","14086","14086","31","31","31"
"621.762210498","14150","14150","14150","32","32","32"
"628.073236866","14269","14269","14269","33","33","33"
"630.319648513","14328","14328","14328","34","34","34"
"632.646101721","14392","14392","14392","35","35","35"
"674.62651263","15311","15311","15311","36","36","36"
"677.239139795","15375","15375","15375","37","37","37"
"683.426055246","15499","15499","15499","38","38","38"
"685.707089242","15558","15558","15558","39","39","39"
"688.171492654","15632","15632","15632","40","40","40"
"708.6021336","16063","16063","16063","41","41","41"
"711.117571669","16122","16122","16122","42","42","42"
"891.356505905","19886","19886","19886","43","43","43"
"893.956942186","19945","19945","19945","44","44","44"
"896.513273769","20009","20009","20009","45","45","45"
"928.179997224","20664","20664","20664","46","46","46"
"930.734710189","20728","20728","20728","47","47","47"
"1145.190830758","25073","25073","25073","48","48","48"
"1147.795532682","25142","25142","25142","49","49","49"
"1181.606615359","25807","25807","25807","50","50","50"
"1184.531926114","25871","25871","25871","51","51","51"
"1215.808431433","26478","26478","26478","52","52","52"
"1218.67328524","26542","26542","26542","53","53","53"
"1221.088793634","26601","26601","26601","54","54","54"
"1268.54329115","27510","27510","27510","55","55","55"
"1270.979008624","27569","27569","27569","56","56","56"
