"Relative Time (Process)","2025-05-04_13-53-52_PID3691 - _step","2025-05-04_13-53-52_PID3691 - _step__MIN","2025-05-04_13-53-52_PID3691 - _step__MAX","2025-05-04_13-53-52_PID3691 - amount_of_options_explored","2025-05-04_13-53-52_PID3691 - amount_of_options_explored__MIN","2025-05-04_13-53-52_PID3691 - amount_of_options_explored__MAX"
"6.465554145","4","4","4","1","1","1"
"9.886456804","66","66","66","2","2","2"
"13.406660105","123","123","123","3","3","3"
"16.783543049","180","180","180","3","3","3"
"20.224089593","243","243","243","4","4","4"
"25.462685988","363","363","363","5","5","5"
"30.779599515","488","488","488","5","5","5"
"33.971091807","546","546","546","6","6","6"
"39.453541553","666","666","666","7","7","7"
"44.835958315","786","786","786","7","7","7"
"48.281449586","844","844","844","8","8","8"
"53.674535766","959","959","959","9","9","9"
"58.862575491","1074","1074","1074","9","9","9"
"64.200733097","1195","1195","1195","10","10","10"
"71.917688858","1373","1373","1373","10","10","10"
"76.990119113","1499","1499","1499","11","11","11"
"84.221694329","1677","1677","1677","11","11","11"
"89.713934482","1798","1798","1798","12","12","12"
"97.346368098","1976","1976","1976","12","12","12"
"102.687115345","2102","2102","2102","13","13","13"
"109.945141025","2290","2290","2290","13","13","13"
